"id","educ","regprc","ecoprc","hhsize","male","faminc","age","reglbs","ecolbs"
10002,16,1.19,1.19,4,0,45,43,2,2
10004,16,0.59,0.79,1,0,65,37,0,2
10034,18,0.59,0.99,3,0,65,44,0,2.666667
10035,12,0.89,1.09,2,1,55,55,3,0
10039,15,0.89,1.09,1,1,25,22,0,3
10041,12,0.59,0.79,4,0,15,34,0,3
10046,14,0.59,0.79,5,0,25,72,0,2
10048,16,0.59,0.59,4,0,45,38,0,1.666667
10050,17,1.19,1.19,1,1,105,50,0,0.5
10057,12,1.19,1.19,2,0,25,69,0,2.333333
10062,18,0.59,0.79,3,0,130,37,0,3
10066,16,0.59,0.59,3,1,130,48,0,2
10068,12,1.19,1.39,5,0,45,36,0,4
10078,13,0.59,0.59,2,0,25,37,0,1.666667
10083,14,0.59,0.59,1,0,65,56,0,2.666667
10085,9,0.89,0.89,5,1,15,36,4,0
10086,13,1.19,1.39,4,0,45,48,0,1
10088,18,0.59,0.99,2,0,85,71,5,0
10091,16,0.89,1.09,2,0,250,45,5,0
10095,14,1.19,1.39,5,0,85,47,0,10
10096,18,0.59,0.79,2,0,105,52,0,2
10102,14,0.89,0.89,3,0,45,35,2.333333,0.6666667
10103,13,0.59,0.99,3,0,25,25,3,0
10110,13,0.89,1.29,2,0,45,66,2,0
10111,12,0.59,0.79,2,0,130,83,0,2
10112,16,0.59,0.99,3,0,95,41,0,3
10113,13,1.19,1.39,3,1,55,47,0,1
10116,10,1.19,1.59,1,0,25,60,2.5,0
10117,16,0.89,0.89,4,0,65,43,0,1.333333
10118,16,0.59,0.99,6,0,95,26,0,0.6666667
10122,16,0.89,0.89,5,0,55,28,0,1
10129,18,0.89,0.89,1,0,55,49,1.666667,0
10131,16,0.59,0.79,1,1,25,36,0.6666667,0.6666667
10132,17,0.59,0.79,2,1,65,62,2,2
10133,12,0.89,1.09,1,0,55,37,0,2
10136,13,1.19,1.19,2,0,35,53,2,2
10144,13,0.89,1.09,2,1,105,52,2.666667,0
10147,16,0.59,0.79,4,0,85,29,0,3.333333
10155,16,1.19,1.39,1,0,35,72,0.6666667,0
10182,18,0.89,1.09,3,0,65,45,1,0
10183,17,1.19,1.19,2,0,55,49,0,1
10190,17,1.19,1.19,2,0,45,53,0,2
10191,14,0.59,0.99,5,0,95,52,10,3
10195,13,0.59,0.79,3,1,65,29,0,2
10199,12,1.19,1.59,3,0,45,57,1,0
10203,12,0.59,0.59,2,0,25,68,0,5
10205,16,0.59,0.99,1,0,45,65,0,1
10207,16,0.59,0.99,8,0,105,50,1,1
10208,16,0.89,0.89,2,0,35,81,0,2
10220,14,1.19,1.39,4,0,35,28,0.5,0.5
10226,16,1.19,1.59,2,0,45,77,0,5
10229,16,0.59,0.79,1,1,45,46,2,0
10250,17,0.59,0.59,2,1,45,31,0,1.666667
10259,12,0.89,1.09,7,0,15,35,3,0
10262,12,0.89,0.89,2,0,35,62,0,4
10263,13,0.89,1.09,3,0,55,38,1.666667,0
10268,17,0.89,0.89,3,1,45,69,0,2
10270,18,1.19,1.19,4,0,45,50,0,1.666667
10271,15,0.59,0.79,3,0,175,35,0,2
10274,17,0.89,0.89,3,0,45,62,2.5,0.5
10276,17,1.19,1.59,4,0,65,30,2,2
10282,15,0.89,0.89,1,0,75,49,1,0
10283,15,1.19,1.19,3,0,45,37,0,1.333333
10290,14,1.19,1.39,4,1,75,40,5,0
10293,12,0.59,0.59,4,1,75,50,0,3
10294,14,0.59,0.79,3,1,55,30,2,2
