"state","yr","gva"
"Andhra Pradesh",1980,69663
"Andhra Pradesh",1981,82552
"Andhra Pradesh",1982,114955
"Andhra Pradesh",1983,153248
"Andhra Pradesh",1984,168978
"Andhra Pradesh",1985,156885
"Andhra Pradesh",1986,168738
"Andhra Pradesh",1987,165526
"Andhra Pradesh",1988,228369
"Andhra Pradesh",1989,274240
"Andhra Pradesh",1991,431558
"Andhra Pradesh",1992,556136
"Andhra Pradesh",1993,614068
"Andhra Pradesh",1994,917959
"Andhra Pradesh",1995,1178464
"Andhra Pradesh",1996,1001255
"Andhra Pradesh",1997,1417485
"Andhra Pradesh",1998,991403
"Andhra Pradesh",1999,1117329
"Andhra Pradesh",2000,1107719
"Andhra Pradesh",2001,1288221
"Andhra Pradesh",2002,1427874
"Andhra Pradesh",2003,1660456
"Andhra Pradesh",2004,1967027
"Andhra Pradesh",2005,2092933
"Andhra Pradesh",2006,3116083
"Andhra Pradesh",2007,3618179
"Andhra Pradesh",2008,4075162
"Andhra Pradesh",2009,4976673
"Andhra Pradesh",2010,6848971
"Andhra Pradesh",2011,7937134
"Andhra Pradesh",2012,3131951
"Andhra Pradesh",2013,2709645
"Andhra Pradesh",2014,3502059
"Andhra Pradesh",2015,3880604
"Andhra Pradesh",2016,3540646
"Andhra Pradesh",2017,4622072
"Andhra Pradesh",2018,4900685
"Andhra Pradesh",2019,5169994
"Andhra Pradesh",2020,7111041
"Andhra Pradesh",2021,8020473
"Andhra Pradesh",2022,9069417
"Andhra Pradesh",2023,9885576
"Arunachal Pradesh",2014,36174
"Arunachal Pradesh",2015,27885
"Arunachal Pradesh",2016,22804
"Arunachal Pradesh",2017,15791
"Arunachal Pradesh",2018,15269
"Arunachal Pradesh",2019,10423
"Arunachal Pradesh",2020,8336
"Arunachal Pradesh",2021,26023
"Arunachal Pradesh",2022,30743
"Arunachal Pradesh",2023,33249
"Assam",1980,14225
"Assam",1981,16312
"Assam",1982,17742
"Assam",1983,27638
"Assam",1984,38792
"Assam",1985,51604
"Assam",1986,54412
"Assam",1987,52838
"Assam",1988,50221
"Assam",1989,86634
"Assam",1991,90948
"Assam",1992,100415
"Assam",1993,98782
"Assam",1994,114535
"Assam",1995,153046
"Assam",1996,112222
"Assam",1997,153552
"Assam",1998,172175
"Assam",1999,191340
"Assam",2000,160468
"Assam",2001,122254
"Assam",2002,340751
"Assam",2003,421343
"Assam",2004,423007
"Assam",2005,410918
"Assam",2006,437932
"Assam",2007,399036
"Assam",2008,379004
"Assam",2009,577045
"Assam",2010,766187
"Assam",2011,770619
"Assam",2012,741784
"Assam",2013,921630
"Assam",2014,987322
"Assam",2015,1171374
"Assam",2016,1486664
"Assam",2017,1578019
"Assam",2018,1666585
"Assam",2019,1755874
"Assam",2020,1969928
"Assam",2021,2382049
"Assam",2022,2815191
"Assam",2023,2901973
"Bihar",1980,86237
"Bihar",1981,114330
"Bihar",1982,153092
"Bihar",1983,186854
"Bihar",1984,151355
"Bihar",1985,163432
"Bihar",1986,170441
"Bihar",1987,230600
"Bihar",1988,299149
"Bihar",1989,308424
"Bihar",1991,390367
"Bihar",1992,416522
"Bihar",1993,731983
"Bihar",1994,507892
"Bihar",1995,636636
"Bihar",1996,809228
"Bihar",1997,1033281
"Bihar",1998,78396
"Bihar",1999,119703
"Bihar",2000,89650
"Bihar",2001,77401
"Bihar",2002,105921
"Bihar",2003,80945
"Bihar",2004,115415
"Bihar",2005,66941
"Bihar",2006,58053
"Bihar",2007,143406
"Bihar",2008,348136
"Bihar",2009,267779
"Bihar",2010,484283
"Bihar",2011,620320
"Bihar",2012,295742
"Bihar",2013,583982
"Bihar",2014,680486
"Bihar",2015,608341
"Bihar",2016,641379
"Bihar",2017,760465
"Bihar",2018,728166
"Bihar",2019,718666
"Bihar",2020,871642
"Bihar",2021,1263796
"Bihar",2022,1599043
"Bihar",2023,1595430
"Chhattisgarh",1998,373120
"Chhattisgarh",1999,307730
"Chhattisgarh",2000,302396
"Chhattisgarh",2001,296756
"Chhattisgarh",2002,410807
"Chhattisgarh",2003,602543
"Chhattisgarh",2004,948903
"Chhattisgarh",2005,803005
"Chhattisgarh",2006,1357925
"Chhattisgarh",2007,1654425
"Chhattisgarh",2008,1871504
"Chhattisgarh",2009,1548331
"Chhattisgarh",2010,1546412
"Chhattisgarh",2011,1551882
"Chhattisgarh",2012,1837973
"Chhattisgarh",2013,2445978
"Chhattisgarh",2014,2226191
"Chhattisgarh",2015,1399487
"Chhattisgarh",2016,1707651
"Chhattisgarh",2017,1956447
"Chhattisgarh",2018,2462330
"Chhattisgarh",2019,2540722
"Chhattisgarh",2020,3023242
"Chhattisgarh",2021,4036257
"Chhattisgarh",2022,4000723
"Chhattisgarh",2023,4348910
"Goa",1989,20389
"Goa",1991,31151
"Goa",1992,25181
"Goa",1993,43042
"Goa",1994,37495
"Goa",1995,57644
"Goa",1996,72637
"Goa",1997,99999
"Goa",1998,131877
"Goa",1999,150965
"Goa",2000,172764
"Goa",2001,188135
"Goa",2002,214864
"Goa",2003,263800
"Goa",2004,338459
"Goa",2005,367387
"Goa",2006,398721
"Goa",2007,431962
"Goa",2008,542773
"Goa",2009,620976
"Goa",2010,655451
"Goa",2011,1266484
"Goa",2012,1132424
"Goa",2013,839487
"Goa",2014,1474278
"Goa",2015,1617738
"Goa",2016,1508028
"Goa",2017,1545320
"Goa",2018,1513420
"Goa",2019,1465440
"Goa",2020,1474927
"Goa",2021,1567348
"Goa",2022,1663910
"Goa",2023,1691959
"Gujarat",1980,135393
"Gujarat",1981,148564
"Gujarat",1982,180529
"Gujarat",1983,275793
"Gujarat",1984,257059
"Gujarat",1985,265385
"Gujarat",1986,312654
"Gujarat",1987,356601
"Gujarat",1988,574170
"Gujarat",1989,457989
"Gujarat",1991,519548
"Gujarat",1992,978453
"Gujarat",1993,1111215
"Gujarat",1994,1446577
"Gujarat",1995,2125496
"Gujarat",1996,2138993
"Gujarat",1997,1881857
"Gujarat",1998,2351370
"Gujarat",1999,2538333
"Gujarat",2000,2299207
"Gujarat",2001,2459171
"Gujarat",2002,3113488
"Gujarat",2003,3692222
"Gujarat",2004,4462402
"Gujarat",2005,5768839
"Gujarat",2006,6058029
"Gujarat",2007,7522540
"Gujarat",2008,7476367
"Gujarat",2009,10826974
"Gujarat",2010,10962242
"Gujarat",2011,11048718
"Gujarat",2012,14685175
"Gujarat",2013,15554032
"Gujarat",2014,19645125
"Gujarat",2015,21095627
"Gujarat",2016,19921069
"Gujarat",2017,22076691
"Gujarat",2018,22897857
"Gujarat",2019,23548411
"Gujarat",2020,24226697
"Gujarat",2021,30032277
"Gujarat",2022,32481602
"Gujarat",2023,34920541
"Haryana",1980,49388
"Haryana",1981,52382
"Haryana",1982,60684
"Haryana",1983,85092
"Haryana",1984,71392
"Haryana",1985,82192
"Haryana",1986,90343
"Haryana",1987,100184
"Haryana",1988,122548
"Haryana",1989,141403
"Haryana",1991,206898
"Haryana",1992,198099
"Haryana",1993,255338
"Haryana",1994,368451
"Haryana",1995,556949
"Haryana",1996,650946
"Haryana",1997,583424
"Haryana",1998,648639
"Haryana",1999,780784
"Haryana",2000,710569
"Haryana",2001,821435
"Haryana",2002,941657
"Haryana",2003,1119094
"Haryana",2004,1391051
"Haryana",2005,1572522
"Haryana",2006,1772802
"Haryana",2007,2133770
"Haryana",2008,2416403
"Haryana",2009,3238084
"Haryana",2010,2994007
"Haryana",2011,3570037
"Haryana",2012,4525208
"Haryana",2013,4461220
"Haryana",2014,5878307
"Haryana",2015,6177836
"Haryana",2016,7896018
"Haryana",2017,7215176
"Haryana",2018,9334635
"Haryana",2019,8164267
"Haryana",2020,8139119
"Haryana",2021,10908431
"Haryana",2022,11916548
"Haryana",2023,15306213
"Himachal Pradesh",1980,7468
"Himachal Pradesh",1981,9940
"Himachal Pradesh",1982,15514
"Himachal Pradesh",1983,19523
"Himachal Pradesh",1984,17396
"Himachal Pradesh",1985,21086
"Himachal Pradesh",1986,22789
"Himachal Pradesh",1987,19703
"Himachal Pradesh",1988,33836
"Himachal Pradesh",1989,28710
"Himachal Pradesh",1991,46108
"Himachal Pradesh",1992,51207
"Himachal Pradesh",1993,88176
"Himachal Pradesh",1994,85038
"Himachal Pradesh",1995,98171
"Himachal Pradesh",1996,126827
"Himachal Pradesh",1997,139741
"Himachal Pradesh",1998,105319
"Himachal Pradesh",1999,134742
"Himachal Pradesh",2000,154743
"Himachal Pradesh",2001,160209
"Himachal Pradesh",2002,178441
"Himachal Pradesh",2003,214455
"Himachal Pradesh",2004,263251
"Himachal Pradesh",2005,622665
"Himachal Pradesh",2006,777589
"Himachal Pradesh",2007,1237986
"Himachal Pradesh",2008,1464780
"Himachal Pradesh",2009,1553768
"Himachal Pradesh",2010,2063796
"Himachal Pradesh",2011,2482191
"Himachal Pradesh",2012,2522918
"Himachal Pradesh",2013,2637778
"Himachal Pradesh",2014,3529036
"Himachal Pradesh",2015,3457976
"Himachal Pradesh",2016,3212129
"Himachal Pradesh",2017,3325566
"Himachal Pradesh",2018,3229129
"Himachal Pradesh",2019,3245245
"Himachal Pradesh",2020,3260500
"Himachal Pradesh",2021,3609804
"Himachal Pradesh",2022,4099053
"Himachal Pradesh",2023,3956086
"Jammu & Kashmir",1980,2578
"Jammu & Kashmir",1981,3241
"Jammu & Kashmir",1982,4675
"Jammu & Kashmir",1983,5009
"Jammu & Kashmir",1984,7895
"Jammu & Kashmir",1985,7786
"Jammu & Kashmir",1986,7538
"Jammu & Kashmir",1987,11073
"Jammu & Kashmir",1988,4348
"Jammu & Kashmir",1989,6124
"Jammu & Kashmir",1991,8300
"Jammu & Kashmir",1992,10539
"Jammu & Kashmir",1993,20638
"Jammu & Kashmir",1994,11553
"Jammu & Kashmir",1995,17375
"Jammu & Kashmir",1996,14845
"Jammu & Kashmir",1997,23878
"Jammu & Kashmir",1998,18211
"Jammu & Kashmir",1999,25025
"Jammu & Kashmir",2000,19983
"Jammu & Kashmir",2001,21440
"Jammu & Kashmir",2002,23329
"Jammu & Kashmir",2003,23121
"Jammu & Kashmir",2004,64952
"Jammu & Kashmir",2005,111633
"Jammu & Kashmir",2006,193672
"Jammu & Kashmir",2007,292213
"Jammu & Kashmir",2008,339466
"Jammu & Kashmir",2009,288492
"Jammu & Kashmir",2010,306853
"Jammu & Kashmir",2011,442673
"Jammu & Kashmir",2012,447726
"Jammu & Kashmir",2013,465399
"Jammu & Kashmir",2014,581783
"Jammu & Kashmir",2015,648568
"Jammu & Kashmir",2016,782707
"Jammu & Kashmir",2017,722032
"Jammu & Kashmir",2018,727448
"Jammu & Kashmir",2019,730091
"Jammu & Kashmir",2020,979178
"Jammu & Kashmir",2021,693449
"Jammu & Kashmir",2022,773737
"Jammu & Kashmir",2023,830367
"Jharkhand",1998,884410
"Jharkhand",1999,842108
"Jharkhand",2000,504936
"Jharkhand",2001,457775
"Jharkhand",2002,809935
"Jharkhand",2003,945548
"Jharkhand",2004,1795694
"Jharkhand",2005,1404280
"Jharkhand",2006,1242107
"Jharkhand",2007,2241338
"Jharkhand",2008,1648983
"Jharkhand",2009,1728288
"Jharkhand",2010,2259722
"Jharkhand",2011,2019748
"Jharkhand",2012,2492647
"Jharkhand",2013,2444135
"Jharkhand",2014,2659112
"Jharkhand",2015,1810947
"Jharkhand",2016,2694184
"Jharkhand",2017,3014979
"Jharkhand",2018,3733126
"Jharkhand",2019,2827728
"Jharkhand",2020,3304850
"Jharkhand",2021,4964632
"Jharkhand",2022,4908930
"Jharkhand",2023,5472754
"Karnataka",1980,71238
"Karnataka",1981,78296
"Karnataka",1982,94158
"Karnataka",1983,109845
"Karnataka",1984,124309
"Karnataka",1985,136280
"Karnataka",1986,151283
"Karnataka",1987,163290
"Karnataka",1988,197159
"Karnataka",1989,260553
"Karnataka",1991,397754
"Karnataka",1992,475882
"Karnataka",1993,482052
"Karnataka",1994,672596
"Karnataka",1995,783179
"Karnataka",1996,1026183
"Karnataka",1997,1039381
"Karnataka",1998,1133359
"Karnataka",1999,997700
"Karnataka",2000,1021194
"Karnataka",2001,1229162
"Karnataka",2002,1456321
"Karnataka",2003,1704872
"Karnataka",2004,2406483
"Karnataka",2005,2443272
"Karnataka",2006,3588178
"Karnataka",2007,3953751
"Karnataka",2008,4876913
"Karnataka",2009,4353188
"Karnataka",2010,4893278
"Karnataka",2011,5554563
"Karnataka",2012,6391217
"Karnataka",2013,6767292
"Karnataka",2014,7181476
"Karnataka",2015,7868539
"Karnataka",2016,9729160
"Karnataka",2017,10218358
"Karnataka",2018,10576056
"Karnataka",2019,10640878
"Karnataka",2020,11348262
"Karnataka",2021,15516144
"Karnataka",2022,15472051
"Karnataka",2023,18374703
"Kerala",1980,44453
"Kerala",1981,49663
"Kerala",1982,54562
"Kerala",1983,59976
"Kerala",1984,77272
"Kerala",1985,77841
"Kerala",1986,82298
"Kerala",1987,102975
"Kerala",1988,111358
"Kerala",1989,160235
"Kerala",1991,190971
"Kerala",1992,207179
"Kerala",1993,203119
"Kerala",1994,254674
"Kerala",1995,343886
"Kerala",1996,339697
"Kerala",1997,375985
"Kerala",1998,463725
"Kerala",1999,414630
"Kerala",2000,418162
"Kerala",2001,403543
"Kerala",2002,429000
"Kerala",2003,477401
"Kerala",2004,482950
"Kerala",2005,523307
"Kerala",2006,436893
"Kerala",2007,682240
"Kerala",2008,882107
"Kerala",2009,828506
"Kerala",2010,1004010
"Kerala",2011,1079692
"Kerala",2012,1335966
"Kerala",2013,1526293
"Kerala",2014,1421515
"Kerala",2015,1829940
"Kerala",2016,2236188
"Kerala",2017,2183551
"Kerala",2018,2337876
"Kerala",2019,2252674
"Kerala",2020,2251864
"Kerala",2021,2709773
"Kerala",2022,3476374
"Kerala",2023,3971766
"Madhya Pradesh",1980,70386
"Madhya Pradesh",1981,90349
"Madhya Pradesh",1982,107427
"Madhya Pradesh",1983,120253
"Madhya Pradesh",1984,133730
"Madhya Pradesh",1985,168266
"Madhya Pradesh",1986,146651
"Madhya Pradesh",1987,205405
"Madhya Pradesh",1988,219465
"Madhya Pradesh",1989,298276
"Madhya Pradesh",1991,341035
"Madhya Pradesh",1992,509648
"Madhya Pradesh",1993,624144
"Madhya Pradesh",1994,742683
"Madhya Pradesh",1995,1126067
"Madhya Pradesh",1996,955209
"Madhya Pradesh",1997,1043175
"Madhya Pradesh",1998,569223
"Madhya Pradesh",1999,700242
"Madhya Pradesh",2000,741737
"Madhya Pradesh",2001,736576
"Madhya Pradesh",2002,662033
"Madhya Pradesh",2003,660084
"Madhya Pradesh",2004,693315
"Madhya Pradesh",2005,857366
"Madhya Pradesh",2006,1273663
"Madhya Pradesh",2007,1593081
"Madhya Pradesh",2008,1699795
"Madhya Pradesh",2009,1771357
"Madhya Pradesh",2010,2027989
"Madhya Pradesh",2011,2271856
"Madhya Pradesh",2012,2546789
"Madhya Pradesh",2013,2560383
"Madhya Pradesh",2014,2729003
"Madhya Pradesh",2015,3571088
"Madhya Pradesh",2016,3967632
"Madhya Pradesh",2017,4898591
"Madhya Pradesh",2018,5692052
"Madhya Pradesh",2019,4394006
"Madhya Pradesh",2020,5165322
"Madhya Pradesh",2021,6648693
"Madhya Pradesh",2022,7033719
"Madhya Pradesh",2023,8266521
"Maharashtra",1980,332220
"Maharashtra",1981,377555
"Maharashtra",1982,403482
"Maharashtra",1983,498842
"Maharashtra",1984,557712
"Maharashtra",1985,677987
"Maharashtra",1986,693667
"Maharashtra",1987,737025
"Maharashtra",1988,952371
"Maharashtra",1989,1165698
"Maharashtra",1991,1289410
"Maharashtra",1992,1898624
"Maharashtra",1993,2435336
"Maharashtra",1994,2789292
"Maharashtra",1995,3766114
"Maharashtra",1996,3611769
"Maharashtra",1997,4008565
"Maharashtra",1998,3629897
"Maharashtra",1999,4101855
"Maharashtra",2000,3768664
"Maharashtra",2001,3611329
"Maharashtra",2002,4210590
"Maharashtra",2003,4950395
"Maharashtra",2004,6039152
"Maharashtra",2005,8406208
"Maharashtra",2006,10679592
"Maharashtra",2007,12259276
"Maharashtra",2008,12760530
"Maharashtra",2009,13498304
"Maharashtra",2010,16846749
"Maharashtra",2011,17922200
"Maharashtra",2012,20257833
"Maharashtra",2013,22857485
"Maharashtra",2014,23907573
"Maharashtra",2015,24847555
"Maharashtra",2016,24215165
"Maharashtra",2017,25863108
"Maharashtra",2018,23238343
"Maharashtra",2019,21586010
"Maharashtra",2020,23968875
"Maharashtra",2021,32089560
"Maharashtra",2022,35882704
"Maharashtra",2023,39209738
"Manipur",1980,66
"Manipur",1981,344
"Manipur",1982,127
"Manipur",1983,105
"Manipur",1984,93
"Manipur",1985,104
"Manipur",1986,107
"Manipur",1987,110
"Manipur",1988,482
"Manipur",1989,59
"Manipur",1991,301
"Manipur",1992,-164
"Manipur",1993,190
"Manipur",1994,461
"Manipur",1995,2682
"Manipur",1996,3603
"Manipur",1997,10312
"Manipur",1999,174
"Manipur",2000,239
"Manipur",2001,339
"Manipur",2002,504
"Manipur",2003,398
"Manipur",2004,691
"Manipur",2005,1079
"Manipur",2006,734
"Manipur",2007,1202
"Manipur",2008,1356
"Manipur",2009,1854
"Manipur",2010,4363
"Manipur",2011,6626
"Manipur",2012,5328
"Manipur",2013,6297
"Manipur",2014,8107
"Manipur",2015,8642
"Manipur",2016,8990
"Manipur",2017,10259
"Manipur",2018,11057
"Manipur",2019,10483
"Manipur",2020,10248
"Manipur",2021,12062
"Manipur",2022,13088
"Manipur",2023,11067
"Meghalaya",1980,1568
"Meghalaya",1981,1047
"Meghalaya",1982,2451
"Meghalaya",1983,1347
"Meghalaya",1984,1035
"Meghalaya",1985,-42
"Meghalaya",1986,190
"Meghalaya",1987,556
"Meghalaya",1988,435
"Meghalaya",1989,1204
"Meghalaya",1991,2686
"Meghalaya",1992,3461
"Meghalaya",1993,1124
"Meghalaya",1994,471
"Meghalaya",1995,6428
"Meghalaya",1996,7293
"Meghalaya",1997,10758
"Meghalaya",1998,867
"Meghalaya",1999,995
"Meghalaya",2000,1132
"Meghalaya",2001,1582
"Meghalaya",2002,5020
"Meghalaya",2003,6494
"Meghalaya",2004,10814
"Meghalaya",2005,26234
"Meghalaya",2006,50178
"Meghalaya",2007,60518
"Meghalaya",2008,59452
"Meghalaya",2009,57292
"Meghalaya",2010,82912
"Meghalaya",2011,99222
"Meghalaya",2012,101279
"Meghalaya",2013,81643
"Meghalaya",2014,101954
"Meghalaya",2015,90300
"Meghalaya",2016,82588
"Meghalaya",2017,164680
"Meghalaya",2018,160287
"Meghalaya",2019,168814
"Meghalaya",2020,140087
"Meghalaya",2021,179149
"Meghalaya",2022,225843
"Meghalaya",2023,211517
"Nagaland",1982,3
"Nagaland",1989,626
"Nagaland",1991,1442
"Nagaland",1992,920
"Nagaland",1993,1261
"Nagaland",1994,1634
"Nagaland",1995,5189
"Nagaland",1996,6396
"Nagaland",1997,3992
"Nagaland",1998,938
"Nagaland",1999,920
"Nagaland",2000,1055
"Nagaland",2001,2717
"Nagaland",2002,1776
"Nagaland",2003,2011
"Nagaland",2004,2190
"Nagaland",2005,3685
"Nagaland",2006,4000
"Nagaland",2007,3960
"Nagaland",2008,2964
"Nagaland",2009,13701
"Nagaland",2010,5588
"Nagaland",2011,7603
"Nagaland",2012,8997
"Nagaland",2013,8076
"Nagaland",2014,12938
"Nagaland",2015,12540
"Nagaland",2016,13997
"Nagaland",2017,14487
"Nagaland",2018,15822
"Nagaland",2019,13343
"Nagaland",2020,9415
"Nagaland",2021,10126
"Nagaland",2022,11228
"Nagaland",2023,10616
"Orissa",1980,26478
"Orissa",1981,27330
"Orissa",1982,35349
"Orissa",1983,36180
"Orissa",1984,30458
"Orissa",1985,44399
"Orissa",1986,54655
"Orissa",1987,66477
"Orissa",1988,120723
"Orissa",1989,145296
"Orissa",1991,167866
"Orissa",1992,191907
"Orissa",1993,210815
"Orissa",1994,257748
"Orissa",1995,326766
"Orissa",1996,298025
"Orissa",1997,474711
"Orissa",1998,286632
"Orissa",1999,330666
"Orissa",2000,307943
"Orissa",2001,279203
"Orissa",2002,342923
"Orissa",2003,441985
"Orissa",2004,739478
"Orissa",2005,774635
"Orissa",2006,1069773
"Orissa",2007,1550911
"Orissa",2008,1919484
"Orissa",2009,1794966
"Orissa",2010,2144365
"Orissa",2011,2420706
"Orissa",2012,2472243
"Orissa",2013,2934288
"Orissa",2014,2543187
"Orissa",2015,2385539
"Orissa",2016,3083574
"Orissa",2017,4101582
"Orissa",2018,5305972
"Orissa",2019,4189430
"Orissa",2020,5797915
"Orissa",2021,10009295
"Orissa",2022,6919041
"Punjab",1980,46963
"Punjab",1981,52417
"Punjab",1982,55984
"Punjab",1983,67666
"Punjab",1984,76602
"Punjab",1985,92293
"Punjab",1986,96230
"Punjab",1987,131470
"Punjab",1988,136428
"Punjab",1989,189224
"Punjab",1991,249398
"Punjab",1992,344620
"Punjab",1993,353317
"Punjab",1994,425959
"Punjab",1995,483813
"Punjab",1996,609883
"Punjab",1997,579691
"Punjab",1998,582976
"Punjab",1999,674816
"Punjab",2000,525826
"Punjab",2001,641931
"Punjab",2002,668551
"Punjab",2003,640986
"Punjab",2004,699086
"Punjab",2005,794528
"Punjab",2006,1204510
"Punjab",2007,1602362
"Punjab",2008,1485679
"Punjab",2009,1721644
"Punjab",2010,2330016
"Punjab",2011,2109607
"Punjab",2012,2332442
"Punjab",2013,2384854
"Punjab",2014,2549979
"Punjab",2015,2671535
"Punjab",2016,2914333
"Punjab",2017,3154290
"Punjab",2018,3419840
"Punjab",2019,3421998
"Punjab",2020,4190213
"Punjab",2021,5442222
"Punjab",2022,5974244
"Punjab",2023,6036580
"Rajasthan",1980,39734
"Rajasthan",1981,44205
"Rajasthan",1982,48104
"Rajasthan",1983,75488
