"state","yr","gva","profit","profit_share"
"Andaman and Nicobar Islands",1980,459,79,0.172113289760349
"Andaman and Nicobar Islands",1981,503,80,0.159045725646123
"Andaman and Nicobar Islands",1982,428,-86,-0.200934579439252
"Andaman and Nicobar Islands",1983,777,187,0.240669240669241
"Andaman and Nicobar Islands",1984,333,-402,-1.20720720720721
"Andaman and Nicobar Islands",1985,694,-115,-0.165706051873199
"Andaman and Nicobar Islands",1986,273,-496,-1.81684981684982
"Andaman and Nicobar Islands",1987,1212,108,0.0891089108910891
"Andaman and Nicobar Islands",1988,217,-725,-3.34101382488479
"Andaman and Nicobar Islands",1989,317,-937,-2.95583596214511
"Andaman and Nicobar Islands",1991,2509,769,0.306496612196094
"Andaman and Nicobar Islands",1992,1290,-769,-0.596124031007752
"Andaman and Nicobar Islands",1993,1525,-1308,-0.857704918032787
"Andaman and Nicobar Islands",1994,1863,-1205,-0.646806226516372
"Andaman and Nicobar Islands",1995,2422,-1457,-0.601568951279934
"Andaman and Nicobar Islands",1996,3538,487,0.137648388920294
"Andaman and Nicobar Islands",1997,4343,620,0.142758461892701
"Andaman and Nicobar Islands",1998,2128,667,0.31343984962406
"Andaman and Nicobar Islands",1999,1567,354,0.22590938098277
"Andaman and Nicobar Islands",2000,778,-212,-0.272493573264781
"Andaman and Nicobar Islands",2001,517,-568,-1.09864603481625
"Andaman and Nicobar Islands",2002,294,-461,-1.56802721088435
"Andaman and Nicobar Islands",2003,1590,17,0.0106918238993711
"Andaman and Nicobar Islands",2004,1167,-260,-0.222793487574979
"Andaman and Nicobar Islands",2005,1367,-332,-0.242867593269934
"Andaman and Nicobar Islands",2006,1586,-162,-0.102143757881463
"Andaman and Nicobar Islands",2007,2586,816,0.31554524361949
"Andaman and Nicobar Islands",2008,1541,-267,-0.173264114211551
"Andaman and Nicobar Islands",2009,1675,-364,-0.217313432835821
"Andaman and Nicobar Islands",2010,1957,-345,-0.176290240163516
"Andaman and Nicobar Islands",2011,2144,-828,-0.386194029850746
"Andaman and Nicobar Islands",2012,958,-1709,-1.7839248434238
"Andaman and Nicobar Islands",2013,1544,-763,-0.494170984455959
"Andaman and Nicobar Islands",2014,1787,-550,-0.307778399552322
"Andaman and Nicobar Islands",2015,998,-552,-0.55310621242485
"Andaman and Nicobar Islands",2016,592,-631,-1.06587837837838
"Andaman and Nicobar Islands",2017,1014,-86,-0.0848126232741617
"Andaman and Nicobar Islands",2018,1115,24,0.02152466367713
"Andaman and Nicobar Islands",2019,1057,6,0.00567644276253548
"Andaman and Nicobar Islands",2020,837,-27,-0.032258064516129
"Andaman and Nicobar Islands",2021,727,-216,-0.297111416781293
"Andaman and Nicobar Islands",2022,664,-259,-0.390060240963855
"Andaman and Nicobar Islands",2023,677,-223,-0.329394387001477
"Andhra Pradesh",1980,69663,3192,0.0458205934283623
"Andhra Pradesh",1981,82552,10289,0.12463659269309
"Andhra Pradesh",1982,114955,22531,0.195998434169893
"Andhra Pradesh",1983,153248,40244,0.262607016078513
"Andhra Pradesh",1984,168978,37838,0.223922640817148
"Andhra Pradesh",1985,156885,11380,0.0725372087835038
"Andhra Pradesh",1986,168738,6833,0.0404947314772013
"Andhra Pradesh",1987,165526,-18505,-0.111795125841258
"Andhra Pradesh",1988,228369,1551,0.00679163984603865
"Andhra Pradesh",1989,274240,10924,0.0398337222870478
"Andhra Pradesh",1991,431558,-19040,-0.0441192145667558
"Andhra Pradesh",1992,556136,-10195,-0.0183318468863731
"Andhra Pradesh",1993,614068,21981,0.0357957099213768
"Andhra Pradesh",1994,917959,193770,0.211087859043813
"Andhra Pradesh",1995,1178464,255230,0.216578529339886
"Andhra Pradesh",1996,1001255,134069,0.133900954302351
"Andhra Pradesh",1997,1417485,299998,0.211641040293195
"Andhra Pradesh",1998,991403,118801,0.119831188729508
"Andhra Pradesh",1999,1117329,137394,0.122966467352051
"Andhra Pradesh",2000,1107719,132446,0.119566424336858
"Andhra Pradesh",2001,1288221,257018,0.199513903282123
"Andhra Pradesh",2002,1427874,316768,0.221845905170904
"Andhra Pradesh",2003,1660456,547727,0.329865410465559
"Andhra Pradesh",2004,1967027,766019,0.389429834974304
"Andhra Pradesh",2005,2092933,848658,0.405487418851917
"Andhra Pradesh",2006,3116083,1594586,0.511727704300559
"Andhra Pradesh",2007,3618179,1786942,0.493878826890544
"Andhra Pradesh",2008,4075162,1931192,0.473893307799788
"Andhra Pradesh",2009,4976673,1974825,0.396816306797734
"Andhra Pradesh",2010,6848971,3263238,0.47645668232498
"Andhra Pradesh",2011,7937134,3690269,0.464937217892504
"Andhra Pradesh",2012,6457578,2191700,0.339399694436521
"Andhra Pradesh",2013,6211298,1476759,0.23775368691053
"Andhra Pradesh",2014,6895919,2225811,0.322772207736199
"Andhra Pradesh",2015,8422377,3210116,0.381141333378926
"Andhra Pradesh",2016,7760722,1939242,0.249879070529778
"Andhra Pradesh",2017,9338769,2963849,0.317370415736806
"Andhra Pradesh",2018,10646256,2900926,0.272483209120652
"Andhra Pradesh",2019,10923146,3268114,0.299191643140172
"Andhra Pradesh",2020,13585041,5458554,0.401806222005513
"Andhra Pradesh",2021,15170517,6551662,0.431868076743858
"Andhra Pradesh",2022,16471349,6855721,0.416220978621727
"Andhra Pradesh",2023,18084444,7309283,0.404175157389412
"Arunachal Pradesh",2014,36174,29414,0.81312544921767
"Arunachal Pradesh",2015,27885,19372,0.694710417787341
"Arunachal Pradesh",2016,22804,14229,0.623969479038765
"Arunachal Pradesh",2017,15791,6214,0.393515293521626
"Arunachal Pradesh",2018,15269,7277,0.476586547907525
"Arunachal Pradesh",2019,10423,3556,0.341168569509738
"Arunachal Pradesh",2020,8336,2714,0.325575815738964
