"id","attendance","sem_gpa","cum_gpa","admission_score","final_score","classes_missed","sex"
1,27,7.975,6.6,83,93,5,0
4,31,5.1,6.525,80,92,1,1
5,32,9.2,8.3,83,99,0,1
6,29,8.075,7.325,86,90,3,1
8,26,5,5.3,82,99,6,0
10,29,7.5,6.825,81,91,3,1
14,29,8.95,8.475,87,98,3,1
15,29,6.25,6.9,85,94,3,1
17,20,3.175,4.95,82,87,12,1
18,32,6.925,5.725,85,86,0,1
20,29,5.95,5.825,82,87,3,1
22,25,5.825,5.975,83,92,7,0
23,31,5.825,6.075,81,84,1,0
24,22,9.7,9.7,88,98,10,1
26,29,9.5,8.4,89,96,3,1
28,25,5.35,5.3,76,87,7,1
30,25,8.175,7.325,82,92,7,1
34,32,6.775,5.7,82,93,0,1
35,31,7.15,8.65,76,92,1,1
36,25,6.25,6.575,85,88,7,0
37,18,5.375,5.475,82,97,14,0
38,32,8.75,8.925,81,97,0,1
40,24,6,7.625,86,84,8,0
41,31,8.85,8.625,85,96,1,1
42,31,9.125,6.575,83,96,1,1
44,25,5.3,5.325,78,89,7,0
45,31,6.25,6.05,78,91,1,1
46,32,9.525,8.575,89,99,0,1
48,30,7.85,9.025,86,89,2,0
49,30,7.5,7.15,84,94,2,1
51,19,5.45,7.375,89,88,13,1
52,30,7.025,6.025,79,85,2,0
53,17,5.25,5.8,83,92,15,1
54,27,5.175,5.75,81,90,5,1
56,27,7.5,5.75,81,95,5,0
57,28,4.9,6.2,80,86,4,1
60,30,6.775,6.65,81,88,2,0
61,31,7.225,7.025,85,88,1,1
63,25,5.875,6.325,87,96,7,0
64,24,6.6,5.225,79,86,8,0
65,19,8.225,6.675,81,100,13,0
66,22,3.85,4.75,85,83,10,1
68,32,10,9.825,85,100,0,1
69,29,6.575,6.375,86,90,3,0
71,20,3.25,3.95,78,86,12,0
75,23,5.775,8.625,83,90,9,1
76,27,5.575,4.9,80,85,5,0
77,31,5.775,6.95,83,89,1,1
80,31,8.05,8.975,87,90,1,0
82,25,1.875,5.3,80,87,7,0
83,30,7.125,8.375,80,93,2,0
85,30,7.3,6.4,76,85,2,1
86,23,6.25,5.9,80,91,9,1
87,24,5.35,6.475,85,90,8,0
88,32,8.05,7.925,85,93,0,0
89,20,5.975,6.525,79,88,12,0
90,26,7.875,7.375,78,92,6,0
91,27,4.375,5.5,80,91,5,0
93,30,7.025,6.375,82,90,2,0
94,31,7.625,7.25,85,92,1,0
95,23,5.675,6.325,86,86,9,1
96,25,7.3,5.675,79,93,7,1
97,29,6.25,6.775,83,91,3,0
100,31,5.275,4.9,84,87,1,0
102,23,4,5.45,80,92,9,0
103,25,8.325,7.625,83,95,7,0
105,29,7.15,6.9,85,92,3,0
107,28,6.15,6.85,81,95,4,1
108,32,10,7.675,79,100,0,0
110,2,0,5.625,85,85,30,1
114,24,7.5,7.975,88,85,8,1
115,31,6.675,6.425,80,85,1,0
118,24,6.575,8.25,86,90,8,1
119,20,4.575,6.325,87,92,12,1
120,30,5,5.175,83,84,2,0
121,31,8.975,8.125,85,95,1,1
122,32,7.2,7.05,83,84,0,1
123,23,4.825,6.125,80,96,9,0
124,30,6.75,7.55,80,93,2,0
125,28,6.725,7.1,83,86,4,0
126,25,8.45,8.475,83,90,7,1
127,28,6.25,2.15,78,95,4,0
129,26,5.375,7.4,76,85,6,0
131,27,6.775,5.375,80,89,5,0
134,22,6.7,4.35,81,94,10,0
135,28,6.875,5.55,81,91,4,0
140,32,8.125,8.2,81,91,0,1
142,31,7.4,7.55,79,90,1,1
143,25,7.75,7.175,86,85,7,0
144,26,5.1,6.875,79,91,6,1
145,29,8.025,8.625,90,96,3,0
146,28,7.8,8.025,84,87,4,1
149,29,8.35,8.55,82,89,3,1
150,28,7.25,6.075,81,87,4,0
152,25,7.575,5.85,82,90,7,0
155,24,3.75,5.25,77,89,8,1
156,29,7.425,7.05,85,93,3,0
157,30,9.275,8.05,87,100,2,0
158,29,5.675,5.25,79,86,3,1
160,25,9.075,9.1,86,97,7,0
