"id","attendance","sem_gpa","cum_gpa","admission_score","final_score","year1","year2","classes_missed","sex"
1,27,7.975,6.6,83,93,0,1,5,0
2,22,6.825,8.8,85,91,0,0,10,1
3,30,7.5,6.15,84,95,0,0,2,0
4,31,5.1,6.525,80,92,0,1,1,1
5,32,9.2,8.3,83,99,0,1,0,1
6,29,8.075,7.325,86,90,0,1,3,1
7,30,3.85,4.85,81,75,1,0,2,1
8,26,5,5.3,82,99,0,1,6,0
9,24,5.625,5.15,84,91,1,0,8,1
10,29,7.5,6.825,81,91,0,1,3,1
11,30,8.025,5.725,76,92,0,0,2,0
12,19,5.125,5.725,84,87,1,0,13,0
13,19,5.325,6.6,84,92,0,0,13,1
14,29,8.95,8.475,87,98,0,1,3,1
15,29,6.25,6.9,85,94,0,1,3,1
16,30,5.25,5.825,80,88,1,0,2,1
17,20,3.175,4.95,82,87,0,1,12,1
18,32,6.925,5.725,85,86,0,1,0,1
19,31,7.875,7.55,78,90,1,0,1,0
20,29,5.95,5.825,82,87,0,1,3,1
21,27,4.425,6.35,81,89,1,0,5,0
22,25,5.825,5.975,83,92,0,1,7,0
23,31,5.825,6.075,81,84,0,1,1,0
24,22,9.7,9.7,88,98,0,1,10,1
25,27,8.225,6.45,86,98,0,0,5,1
26,29,9.5,8.4,89,96,0,1,3,1
27,32,8.75,7.55,88,97,0,0,0,1
28,25,5.35,5.3,76,87,0,1,7,1
29,30,7.2,5.925,83,95,1,0,2,1
30,25,8.175,7.325,82,92,0,1,7,1
31,27,8.225,5.05,88,95,1,0,5,1
32,27,6.4,6.95,81,91,0,0,5,0
33,23,8.125,7.125,89,90,0,0,9,0
34,32,6.775,5.7,82,93,0,1,0,1
35,31,7.15,8.65,76,92,0,1,1,1
36,25,6.25,6.575,85,88,0,1,7,0
37,18,5.375,5.475,82,97,0,1,14,0
38,32,8.75,8.925,81,97,0,1,0,1
39,31,5.4,4.95,78,91,1,0,1,1
40,24,6,7.625,86,84,0,1,8,0
41,31,8.85,8.625,85,96,0,1,1,1
42,31,9.125,6.575,83,96,0,1,1,1
43,32,6.25,6.55,84,84,0,0,0,1
