"mileage_kmpl","weight_kg"
22,2930
17,3350
22,2640
20,3250
15,4080
18,3670
26,2230
20,3280
16,3880
19,3400
14,4330
14,3900
21,4290
29,2110
16,3690
22,3180
22,3220
24,2750
19,3430
30,2120
18,3600
16,3600
17,3740
28,1800
21,2650
12,4840
12,4720
14,3830
22,2580
14,4060
15,3720
18,3370
14,4130
20,2830
21,4060
19,3310
19,3300
18,3690
19,3370
24,2730
16,4030
28,3260
34,1800
25,2200
26,2520
18,3330
18,3700
18,3470
19,3210
19,3200
19,3420
24,2690
17,2830
23,2070
25,2650
23,2370
35,2020
24,2280
21,2750
21,2130
25,2240
28,1760
30,1980
14,3420
26,1830
35,2050
18,2410
31,2200
18,2670
23,2160
41,2040
25,1930
25,1990
17,3170
