"age","price","rooms","area","land","baths","dist","highway","logprice","logarea","logland","logdist","loghighway"
81,49000,6,1554,6790,1,3.59664,0.3048,10.79958,7.348588,8.823206,1.28,-1.188099
71,52000,5,1575,3485,1,3.07848,0.6096,10.859,7.36201,8.156223,1.124436,-0.4949523
31,68000,6,3304,18731,2,3.10896,0.6096,11.12726,8.102889,9.837935,1.134288,-0.4949523
41,54000,6,1700,7500,1,3.41376,0.6096,10.89674,7.438384,8.922658,1.227814,-0.4949523
31,70000,6,1454,5500,2,3.59664,0.6096,11.15625,7.282073,8.612503,1.28,-0.4949523
81,47000,6,1410,4500,1,3.10896,0.6096,10.7579,7.251345,8.411833,1.134288,-0.4949523
19,73900,6,1592,13068,1,4.02336,1.2192,11.21047,7.372746,9.477921,1.392117,0.1981949
1,117500,9,1910,15246,3,5.54736,2.7432,11.67419,7.554859,9.632072,1.713322,1.009125
41,60000,5,735,10454,1,5.7912,3.048,11.0021,6.599871,9.25474,1.75634,1.114486
1,85000,6,1154,43560,2,7.0104,4.572,11.35041,7.05099,10.68189,1.947395,1.519951
26,66479,5,1104,15512,1,5.1816,2.1336,11.10464,7.006695,9.649369,1.645114,0.7578107
81,70000,6,1830,13939,1,2.7432,0.9144,11.15625,7.512071,9.542446,1.009125,-0.0894872
41,66500,5,1166,9770,1,3.2004,1.2192,11.10496,7.061334,9.187072,1.163276,0.1981949
31,91000,7,2263,10019,2,3.5052,1.2192,11.41861,7.724447,9.212238,1.254248,0.1981949
31,72500,6,1482,12632,1,3.62712,1.2192,11.19134,7.301148,9.443989,1.288439,0.1981949
36,67000,4,970,11104,1,3.62712,1.2192,11.11245,6.877296,9.315061,1.288439,0.1981949
21,68000,6,1684,81273,2,1.76784,3.6576,11.12726,7.428927,11.30557,0.5697585,1.296807
18,85000,6,1080,52272,2,7.34568,5.4864,11.35041,6.984716,10.86422,1.994112,1.702272
13,106000,6,1633,17728,2,3.2004,1.524,11.57119,7.398174,9.782901,1.163276,0.4213385
24,130000,7,3208,17424,3,3.5052,1.524,11.77529,8.073403,9.765604,1.254248,0.4213385
