"year","y","l","k","logy","logl","logk","ybyl","kbyl","log_ybyl","log_kbyl"
1981,1400000,283562,4600000,14.1619,12.5552,15.3393,4.98632,16.1854,1.6067,2.78411
1982,1500000,290516,4800000,14.2181,12.5794,15.3781,5.14855,16.4228,1.63872,2.79867
1983,1500000,297754,5e+06,14.2492,12.604,15.4164,5.18164,16.6491,1.64512,2.81236
1984,1700000,304367,5200000,14.3304,12.626,15.4563,5.49807,16.9501,1.7044,2.83027
1985,1700000,308533,5400000,14.3691,12.6396,15.4963,5.63791,17.4047,1.72951,2.85674
1986,1800000,313020,5600000,14.4082,12.654,15.5357,5.77882,17.8447,1.7542,2.88171
1987,1900000,317881,5800000,14.4504,12.6694,15.5782,5.93579,18.3341,1.781,2.90877
1988,2e+06,323182,6100000,14.4857,12.686,15.6228,6.04789,18.8552,1.79971,2.93679
1989,2200000,330291,6400000,14.5906,12.7077,15.6686,6.57224,19.3148,1.88286,2.96087
1990,2300000,338167,6700000,14.6494,12.7313,15.7178,6.80809,19.8158,1.91811,2.98648
1991,2400000,346374,7100000,14.7071,12.7553,15.7732,7.04174,20.4488,1.95185,3.01793
1992,2500000,354928,7400000,14.7255,12.7797,15.8167,6.99929,20.8438,1.94581,3.03706
1993,2600000,363845,7800000,14.7739,12.8045,15.8644,7.16631,21.3264,1.96939,3.05995
1994,2800000,373144,8100000,14.8296,12.8297,15.9087,7.38826,21.7362,1.99989,3.07898
1995,2900000,378332,8500000,14.8886,12.8435,15.9547,7.72958,22.4467,2.04505,3.11115
1996,3100000,382284,8900000,14.952,12.8539,16.0051,8.15052,23.3645,2.09808,3.15122
1997,3400000,386507,9400000,15.0285,12.8649,16.0546,8.70228,24.2802,2.16358,3.18966
1998,3500000,391017,9900000,15.0612,12.8765,16.1057,8.88817,25.2587,2.18472,3.22917
1999,3700000,395829,1e+07,15.1214,12.8887,16.1611,9.3244,26.3749,2.23263,3.27241
2000,3900000,400960,1.1e+07,15.1829,12.9016,16.2239,9.78939,27.7248,2.2813,3.32233
2001,4100000,409770,1.2e+07,15.2208,12.9234,16.2796,9.9489,28.682,2.29746,3.35627
2002,4300000,419968,1.3e+07,15.2711,12.9479,16.3477,10.2075,29.9562,2.32312,3.39974
2003,4400000,430803,1.3e+07,15.3025,12.9734,16.4093,10.2682,31.0584,2.32906,3.43587
2004,4800000,442325,1.4e+07,15.377,12.9998,16.4709,10.775,32.1728,2.37723,3.47112
2005,5100000,454591,1.5e+07,15.4422,13.0272,16.5434,11.1903,33.6587,2.41505,3.51627
2006,5500000,457649,1.6e+07,15.5217,13.0339,16.6153,12.0353,35.9262,2.48784,3.58147
2007,6e+06,457950,1.8e+07,15.599,13.0345,16.6948,12.9942,38.8729,2.5645,3.6603
2008,6400000,458993,1.9e+07,15.6701,13.0368,16.7812,13.9193,42.2818,2.63328,3.74436
2009,6700000,460823,2.1e+07,15.7131,13.0408,16.8651,14.4731,45.8001,2.67229,3.82429
2010,7100000,463491,2.3e+07,15.7795,13.0465,16.9436,15.3776,49.2596,2.73291,3.8971
2011,7700000,467060,2.5e+07,15.8569,13.0542,17.0201,16.4891,52.7667,2.8027,3.96588
2012,8100000,471602,2.7e+07,15.9082,13.0639,17.0988,17.1902,56.5398,2.84434,4.03495
2013,8500000,471524,2.9e+07,15.961,13.0637,17.1738,18.1248,60.9492,2.89728,4.11004
2014,9100000,470234,3.1e+07,16.0198,13.061,17.2419,19.2748,65.4234,2.9588,4.18088
2015,9700000,469554,3.3e+07,16.0889,13.0595,17.3052,20.6837,69.8042,3.02935,4.24569
2016,1e+07,469475,3.5e+07,16.1661,13.0594,17.3683,22.3481,74.3645,3.10674,4.30898
2017,1.1e+07,469997,3.7e+07,16.2428,13.0605,17.4329,24.1029,79.2336,3.18233,4.3724
2018,1.2e+07,471123,4e+07,16.3033,13.0629,17.4981,25.5436,84.3733,3.24039,4.43525
2019,1.3e+07,483343,4.3e+07,16.3598,13.0885,17.5672,26.3453,88.1205,3.27129,4.4787
2020,1.3e+07,521855,4.5e+07,16.3972,13.1651,17.63,25.3317,86.9095,3.23206,4.46487
