"train","age","educ","black","hisp","married","earn96","unem96","earn98","unem98"
0,37,11,1,0,1,0,1,1.62,0
0,30,12,1,0,0,0,1,0,1
1,27,11,1,0,0,0,1,0,1
1,33,8,1,0,0,0,1,9.07,0
0,22,9,1,0,0,0,1,4.02,0
1,23,12,1,0,0,0,1,7.34,0
0,32,11,1,0,0,0,1,2.62,0
1,22,16,1,0,0,0,1,7.6,0
0,19,9,1,0,0,0,1,0,1
1,21,13,1,0,0,0,1,13.41,0
1,18,8,1,0,0,0,1,0,1
1,27,10,1,0,1,0,1,5.19,0
0,17,7,1,0,0,0,1,8.77,0
0,19,10,1,0,0,0,1,0,1
1,27,13,1,0,0,0,1,9.85,0
0,23,10,1,0,0,0,1,5.56,0
1,40,12,1,0,0,0,1,0,1
0,26,12,1,0,0,0,1,0,1
1,23,11,1,0,0,0,1,7.29,0
1,24,11,1,0,0,0,1,12.73,0
1,18,10,1,0,0,0,1,7.64,0
1,29,11,1,0,1,0,1,16.24,0
0,25,11,1,0,0,0,1,0,1
0,17,10,1,0,0,0,1,0,1
0,24,11,1,0,0,0,1,0.02,0
0,17,10,1,0,0,0,1,0.02,0
1,48,4,1,0,0,0,1,0,1
1,25,11,1,0,1,0,1,0.99,0
1,20,12,1,0,0,0,1,3.14,0
1,25,12,1,0,0,0,1,9.14,0
0,42,14,1,0,0,0,1,5.9,0
1,25,5,1,0,0,0,1,0,1
0,23,12,1,0,1,0,1,7.15,0
1,46,8,1,0,1,0,1,7.21,0
1,24,10,1,0,0,0,1,0,1
1,21,12,1,0,0,0,1,0,1
0,17,8,1,0,0,0,1,0,1
1,20,11,1,0,0,0,1,2.43,0
1,25,11,1,0,1,0,1,6.57,0
1,17,8,1,0,0,0,1,0,1
1,17,9,1,0,0,0,1,3.08,0
0,25,5,1,0,0,0,1,0,1
1,23,12,1,0,0,0,1,16.37,0
1,28,8,1,0,0,0,1,0,1
1,31,11,1,0,1,0,1,0,1
1,18,11,1,0,0,0,1,10.82,0
1,25,12,1,0,0,0,1,3.14,0
0,30,11,1,0,1,0,1,0,1
1,17,10,1,0,0,0,1,5.11,0
0,37,9,1,0,0,0,1,6.4,0
1,41,4,1,0,1,0,1,7.63,0
1,42,14,1,0,1,0,1,7.16,0
0,17,8,1,0,0,0,1,0,1
1,29,8,1,0,0,0,1,8.03,0
1,35,10,1,0,0,0,1,0,1
1,27,11,1,0,0,0,1,11.8,0
1,29,4,1,0,0,0,1,6.56,0
0,28,9,1,0,0,0,1,4.05,0
0,27,11,1,0,0,0,1,6.47,0
0,45,5,1,0,1,0,1,1.33,0
0,29,13,1,0,0,0,1,10.44,0
1,27,9,1,0,0,0,1,7.02,0
1,46,13,1,0,0,0,1,0.15,0
1,18,6,1,0,0,0,1,0,1
1,25,12,1,0,0,0,1,11.11,0
0,28,15,1,0,0,0,1,0,1
0,22,12,1,0,0,0,1,0,1
1,21,9,1,0,0,0,1,11.36,0
1,40,11,1,0,0,0,1,0,1
0,22,11,1,0,0,0,1,6.83,0
