"id","age","marital_experience","gender","income"
4,37,"happy","Male",932697.9
5,27,"happy","Female",1011941
6,27,"happy","Male",964848.7
11,32,"happy","Female",967710.9
12,27,"very happy","Female",1021528
16,57,"very happy","Male",977299.3
29,32,"very happy","Female",994818.1
43,37,"unhappy","Male",1013000
45,57,"happy","Male",1017115
47,32,"unhappy","Female",1052678
49,22,"very happy","Male",957274.3
50,37,"unhappy","Male",1037915
53,32,"unhappy","Female",984341.4
55,27,"happy","Male",958876.6
64,47,"happy","Male",994656.5
67,22,"very happy","Male",975985.8
79,22,"very happy","Female",929418.3
80,22,"happy","Female",1047270
86,27,"happy","Female",1061094
93,37,"very happy","Female",1002266
114,22,"happy","Female",1030929
115,22,"very happy","Female",933026.2
116,27,"very happy","Female",954309.9
122,37,"unhappy","Male",965832.6
123,22,"very happy","Female",1016913
126,22,"happy","Female",992008.2
127,22,"very happy","Female",1023760
129,27,"happy","Female",1019544
133,37,"happy","Male",1066130
134,32,"very happy","Female",1023708
137,37,"happy","Male",999393.8
138,32,"unhappy","Female",975789.7
139,22,"very happy","Female",1012558
147,27,"very happy","Female",1001360
151,42,"happy","Male",1025185
153,27,"very happy","Male",1021259
154,37,"unhappy","Female",978002.1
155,27,"happy","Female",997463.8
159,42,"happy","Female",985612.8
163,22,"very happy","Female",946887.8
165,27,"happy","Male",983271.6
168,42,"happy","Female",1012177
170,32,"happy","Male",1001264
176,37,"unhappy","Male",918530
181,32,"unhappy","Female",1040997
182,27,"very happy","Male",976163.3
184,42,"happy","Female",963766.5
187,22,"very happy","Female",984881.2
189,27,"very happy","Female",1038869
192,22,"very happy","Male",959632.5
194,22,"very happy","Female",1001843
204,42,"very happy","Male",993450.3
210,32,"very happy","Male",1003455
215,47,"very happy","Female",989593.6
220,22,"happy","Female",996528.5
228,22,"very happy","Male",1021312
232,27,"happy","Female",971667.4
233,27,"happy","Female",1006439
239,27,"very happy","Female",997301.3
241,42,"happy","Female",979854.8
245,27,"very happy","Male",976465.8
249,42,"happy","Male",1013230
252,27,"happy","Male",1021383
253,27,"unhappy","Female",1020482
262,22,"very happy","Female",1041901
265,32,"happy","Male",993464.1
267,27,"very happy","Male",963445.4
269,27,"happy","Male",988624.8
271,22,"very happy","Male",992867.7
274,42,"happy","Female",1018826
287,27,"unhappy","Male",1052095
288,32,"happy","Male",928407.8
290,22,"happy","Male",1033060
292,37,"very happy","Female",1029592
293,27,"happy","Female",955993.7
295,32,"happy","Male",954463.9
299,47,"unhappy","Female",951230.6
320,37,"happy","Male",1098275
321,22,"very happy","Female",1042986
324,27,"very happy","Male",966866.7
328,32,"happy","Female",987054.9
334,32,"happy","Male",956414.4
344,27,"unhappy","Male",994768.1
