"state_code","agri_share","wpr","n","round"
2,68.5960943921448,46.2350264906132,42117,1983
3,71.1728866111492,29.1399283484199,23820,1983
4,74.7984873253962,32.0407588120185,53379,1983
5,63.6636834184832,38.9761716126118,26156,1983
6,63.496396820488,29.8580870058849,10184,1983
7,81.5361446932732,44.269044792122,11511,1983
8,60.1442119874171,29.696639686469,23891,1983
9,66.9097885724226,40.7888963075857,29914,1983
10,49.5568133860412,30.4790099840055,23456,1983
11,77.4450579158418,42.7215349615945,46272,1983
12,66.3749266905865,43.2255795955399,52141,1983
13,74.0565384082406,34.4175768270775,9466,1983
14,74.6258795140179,42.9116597941866,6123,1983
15,8.94154518258227,39.0125972582438,870,1983
16,71.9338496330375,38.2572347398314,20217,1983
17,58.520633256083,31.2384123581187,23505,1983
18,73.9527374628453,40.5719353077749,28748,1983
19,63.4501044512293,34.7322693770988,2166,1983
20,56.1566982886327,43.1984539987885,38840,1983
21,37.0579405713398,29.2669594948997,5190,1983
22,68.8465697771913,32.5950222055188,79379,1983
23,54.6141162566137,31.1996619494966,41915,1983
24,51.7368764545802,35.634236669358,4866,1983
25,3.39560225724849,30.0324343277913,204,1983
26,4.00993741758282,34.6936041573988,835,1983
27,77.8977599080988,55.0798304262544,1707,1983
28,3.38855129165626,33.2874810273559,5609,1983
29,32.5065135038655,32.7489186175754,1456,1983
30,23.9069919764205,36.8646625618737,75,1983
31,78.1234564148549,39.7973132360324,7946,1983
32,45.6610464044658,36.8688960656523,1488,1983
