ID,Attendance,Semester GPA,Cumulative GPA,APU Admission Test Score,Statistics Final Exam Score,1st Year UG,2nd Year UG,No of Classes Missed,Sex
1,27,3.19,2.64,83,93,0,1,5,0
2,22,2.73,3.52,85,91,0,0,10,1
3,30,3,2.46,84,95,0,0,2,0
4,31,2.04,2.61,80,92,0,1,1,1
5,32,3.68,3.32,83,99,0,1,0,1
6,29,3.23,2.93,86,90,0,1,3,1
7,30,1.54,1.94,81,75,1,0,2,1
8,26,2,2.12,82,99,0,1,6,0
9,24,2.25,2.06,84,91,1,0,8,1
10,29,3,2.73,81,91,0,1,3,1
11,30,3.21,2.29,76,92,0,0,2,0
12,19,2.05,2.29,84,87,1,0,13,0
13,19,2.13,2.64,84,92,0,0,13,1
14,29,3.58,3.39,87,98,0,1,3,1
15,29,2.5,2.76,85,94,0,1,3,1
16,30,2.1,2.33,80,88,1,0,2,1
17,20,1.27,1.98,82,87,0,1,12,1
18,32,2.77,2.29,85,86,0,1,0,1
19,31,3.15,3.02,78,90,1,0,1,0
20,29,2.38,2.33,82,87,0,1,3,1
21,27,1.77,2.54,81,89,1,0,5,0
22,25,2.33,2.39,83,92,0,1,7,0
23,31,2.33,2.43,81,84,0,1,1,0
24,22,3.88,3.88,88,98,0,1,10,1
25,27,3.29,2.58,86,98,0,0,5,1
26,29,3.8,3.36,89,96,0,1,3,1
27,32,3.5,3.02,88,97,0,0,0,1
28,25,2.14,2.12,76,87,0,1,7,1
29,30,2.88,2.37,83,95,1,0,2,1
30,25,3.27,2.93,82,92,0,1,7,1
31,27,3.29,2.02,88,95,1,0,5,1
32,27,2.56,2.78,81,91,0,0,5,0
33,23,3.25,2.85,89,90,0,0,9,0
34,32,2.71,2.28,82,93,0,1,0,1
35,31,2.86,3.46,76,92,0,1,1,1
36,25,2.5,2.63,85,88,0,1,7,0
37,18,2.15,2.19,82,97,0,1,14,0
38,32,3.5,3.57,81,97,0,1,0,1
39,31,2.16,1.98,78,91,1,0,1,1
40,24,2.4,3.05,86,84,0,1,8,0
41,31,3.54,3.45,85,96,0,1,1,1
42,31,3.65,2.63,83,96,0,1,1,1
43,32,2.5,2.62,84,84,0,0,0,1
44,25,2.12,2.13,78,89,0,1,7,0
45,31,2.5,2.42,78,91,0,1,1,1
46,32,3.81,3.43,89,99,0,1,0,1
47,30,3.1,2.35,81,84,1,0,2,1
48,30,3.14,3.61,86,89,0,1,2,0
49,30,3,2.86,84,94,0,1,2,1
50,10,1.21,2.05,90,94,1,0,22,1
51,19,2.18,2.95,89,88,0,1,13,1
52,30,2.81,2.41,79,85,0,1,2,0
53,17,2.1,2.32,83,92,0,1,15,1
54,27,2.07,2.3,81,90,0,1,5,1
55,27,1.36,1.79,81,87,1,0,5,0
56,27,3,2.3,81,95,0,1,5,0
57,28,1.96,2.48,80,86,0,1,4,1
58,30,2.86,2.87,82,100,1,0,2,1
59,30,2.61,2.02,85,89,1,0,2,0
60,30,2.71,2.66,81,88,0,1,2,0
61,31,2.89,2.81,85,88,0,1,1,1
62,26,2.86,2.34,81,93,0,0,6,1
63,25,2.35,2.53,87,96,0,1,7,0
64,24,2.64,2.09,79,86,0,1,8,0
65,19,3.29,2.67,81,100,0,1,13,0
66,22,1.54,1.9,85,83,0,1,10,1
67,28,3.32,2.8,81,86,1,0,4,0
68,32,4,3.93,85,100,0,1,0,1
69,29,2.63,2.55,86,90,0,1,3,0
70,19,2.38,2.17,81,87,1,0,13,1
71,20,1.3,1.58,78,86,0,1,12,0
72,29,2.76,2.12,80,94,1,0,3,1
73,26,2.33,2.2,74,85,0,0,6,0
74,26,2.64,2.02,87,94,1,0,6,1
75,23,2.31,3.45,83,90,0,1,9,1
76,27,2.23,1.96,80,85,0,1,5,0
77,31,2.31,2.78,83,89,0,1,1,1
78,31,3.88,3.59,87,100,0,0,1,1
79,29,2.38,2,75,84,1,0,3,1
80,31,3.22,3.59,87,90,0,1,1,0
81,24,2.26,2.04,85,93,0,0,8,0
82,25,0.75,2.12,80,87,0,1,7,0
83,30,2.85,3.35,80,93,0,1,2,0
84,32,1.65,2.41,79,90,1,0,0,0
85,30,2.92,2.56,76,85,0,1,2,1
86,23,2.5,2.36,80,91,0,1,9,1
87,24,2.14,2.59,85,90,0,1,8,0
88,32,3.22,3.17,85,93,0,1,0,0
89,20,2.39,2.61,79,88,0,1,12,0
90,26,3.15,2.95,78,92,0,1,6,0
91,27,1.75,2.2,80,91,0,1,5,0
92,24,1.75,2.52,88,90,0,0,8,0
93,30,2.81,2.55,82,90,0,1,2,0
94,31,3.05,2.9,85,92,0,1,1,0
95,23,2.27,2.53,86,86,0,1,9,1
96,25,2.92,2.27,79,93,0,1,7,1
97,29,2.5,2.71,83,91,0,1,3,0
98,28,3.71,2,86,99,1,0,4,0
99,20,1.5,2.29,81,86,0,0,12,0
100,31,2.11,1.96,84,87,0,1,1,0
101,31,3.28,2.46,78,99,0,0,1,0
102,23,1.6,2.18,80,92,0,1,9,0
