obs,gender,city,relationship,lwage,exper
1,female,small,married,1.745715,30
2,female,small,married,1.453953,28
3,female,small,single,2.074429,35
4,male,big,married,2.448416,38
5,male,small,married,2.435366,27
6,female,big,married,1.363537,20
7,male,big,married,2.170196,12
8,male,small,single,2.039921,5
9,female,big,single,1.609438,5
10,female,small,single,1.358409,12
11,female,big,single,1.238374,3
12,male,small,married,1.393766,6
13,male,small,married,1.637053,19
14,male,small,single,1.098612,8
15,male,big,married,2.078191,12
16,male,small,married,1.793425,17
17,male,big,married,1.640936,7
18,male,small,married,2.445819,12
19,female,big,single,2.345644,10
20,female,big,married,2.039921,7
21,male,small,single,2.039921,7
22,male,small,married,1.915451,19
23,male,big,married,1.927164,33
24,male,big,married,2.834976,32
25,male,big,married,2.307573,12
26,male,small,married,2.760643,24
27,male,big,single,2.697326,29
28,male,big,single,2.948641,17
29,male,big,married,2.122262,41
30,male,small,married,2.263844,40
31,male,small,married,1.785071,10
32,male,small,married,1.745715,43
33,male,small,married,1.906575,41
34,male,small,married,2.100469,18
35,male,big,married,2.51689,28
36,male,big,married,2.263844,37
37,male,small,married,1.574847,20
38,male,small,married,2.039921,10
39,male,small,married,2.525729,31
40,male,big,married,1.036737,18
41,male,big,single,2.510412,9
42,male,big,married,2.581731,42
43,male,big,married,2.823163,14
44,male,big,married,2.445819,27
45,female,big,single,1.599388,20
46,male,big,married,1.975469,14
47,male,big,married,2.44928,4
48,male,big,married,2.733068,13
49,male,small,married,1.808289,5
50,male,big,married,2.070653,32
51,female,big,married,2.214846,19
52,female,big,single,1.93297,14
53,male,big,married,3.004692,28
54,male,small,married,2.295561,31
55,male,small,married,2.052841,18
56,male,big,married,1.635106,23
57,male,small,married,2.396986,14
58,male,small,married,1.880991,17
59,male,big,married,2.312536,16
60,male,big,married,2.373975,19
61,male,big,married,2.794228,26
62,female,small,married,1.530395,20
63,male,big,married,2.013569,18
64,male,big,married,2.956471,35
65,female,small,single,1.562346,9
66,female,big,single,1.965713,20
67,male,big,married,2.668616,7
68,male,big,single,2.227861,40
69,male,small,married,3.400531,12
70,male,small,married,3.490124,33
71,male,small,married,2.263844,16
72,female,big,married,2.123458,15
73,male,small,married,3.074081,11
74,male,small,married,2.766319,24
75,male,big,married,1.752672,6
76,male,big,married,3.044046,40
77,male,big,married,3.149311,15
78,male,small,married,1.60342,9
79,male,big,married,1.930071,16
80,female,big,single,1.745715,12
81,male,small,married,1.646734,8
82,female,small,single,2.052841,25
83,female,big,married,2.173615,24
84,female,small,single,2.232163,25
85,female,big,single,2.119864,7
86,female,small,single,2.314514,40
87,female,big,single,0.6830968,29
88,female,big,married,2.109,13
89,female,big,single,1.619388,5
90,female,big,married,1.879465,10
91,male,big,married,1.497388,25
92,female,big,married,2.074429,10
93,male,big,single,1.832582,20
94,male,big,single,1.418277,7
95,female,big,married,1.906575,25
96,female,small,single,2.039921,8
