"team","span","matches","tosses_won","pct_toss_won"
"England","1877-2025",2124,1046,49.2467
"Australia","1879-2025",2116,1084,51.2287
"India","1932-2025",1926,955,49.5846
"Pakistan","1952-2025",1748,868,49.6568
"West Indies","1928-2025",1725,845,48.9855
"New Zealand","1930-2025",1573,780,49.5868
"Sri Lanka","1975-2025",1484,765,51.5499
"South Africa","1889-2025",1384,695,50.2168
"Zimbabwe","1983-2025",897,453,50.5017
"Bangladesh","1986-2025",820,406,49.5122
"Ireland","2006-2025",399,214,53.6341
"Afghanistan","2009-2025",349,175,50.1433
"Scotland","1999-2025",284,126,44.3662
"Netherlands","1996-2025",275,129,46.9091
"Kenya","1996-2025",275,131,47.6364
"U.A.E.","1996-2025",269,138,51.3011
"Nepal","2014-2025",193,97,50.2591
"Canada","1979-2025",193,97,50.2591
"Oman","2015-2025",175,92,52.5714
"Namibia","2003-2025",155,79,50.9677
"Hong Kong","2004-2025",147,71,48.2993
"P.N.G.","2014-2024",134,59,44.0299
"U.S.A.","2004-2025",129,57,44.186
"Uganda","2019-2024",118,60,50.8475
"Malaysia","2019-2025",111,64,57.6577
"Rwanda","2021-2025",109,60,55.0459
"Bahrain","2019-2025",103,49,47.5728
"Bermuda","2006-2025",88,41,46.5909
"Austria","2019-2025",84,46,54.7619
"Malta","2019-2025",83,33,39.759
"Nigeria","2019-2025",82,43,52.439
"Indonesia","2022-2025",81,35,43.2099
"Qatar","2019-2025",80,39,48.75
"Tanzania","2021-2025",79,47,59.4937
"Kuwait","2019-2025",79,42,53.1646
"Singapore","2019-2025",70,47,67.1429
"Saudi Arabia","2019-2025",66,35,53.0303
"Malawi","2019-2025",66,34,51.5152
"Germany","2019-2025",64,32,50
"Romania","2019-2025",62,31,50
"Bulgaria","2019-2025",62,34,54.8387
"Jersey","2019-2025",61,31,50.8197
"Botswana","2019-2025",58,32,55.1724
"Belgium","2019-2025",57,31,54.386
"Thailand","2019-2025",55,25,45.4545
"Luxembourg","2019-2025",52,24,46.1538
"Japan","2022-2025",51,30,58.8235
"Gibraltar","2019-2025",51,27,52.9412
"Maldives","2019-2024",50,19,38
"Norway","2019-2025",49,17,34.6939
"Czech Rep.","2019-2025",49,22,44.898
"Guernsey","2019-2025",49,25,51.0204
"Ghana","2019-2024",47,28,59.5745
"Hungary","2021-2025",46,21,45.6522
"Denmark","2019-2025",45,28,62.2222
"Serbia","2019-2025",45,21,46.6667
"Spain","2019-2024",44,22,50
"Mozambique","2019-2025",43,18,41.8605
"Cayman","2019-2025",41,18,43.9024
"Vanuatu","2019-2024",40,17,42.5
"Finland","2019-2024",40,23,57.5
"Philippines","2019-2025",38,17,44.7368
"Sierra Leone","2021-2023",37,19,51.3513
"Italy","2019-2024",36,19,52.7778
"Cambodia","2023-2025",36,23,63.8889
"Sweden","2021-2025",36,23,63.8889
"Bahamas","2022-2025",36,20,55.5556
"Portugal","2019-2025",35,16,45.7143
"Switzerland","2021-2025",35,17,48.5714
"France","2021-2025",35,21,60
"Estonia","2021-2025",34,14,41.1765
"Cyprus","2021-2025",32,15,46.875
"Bhutan","2019-2024",32,18,56.25
"Samoa","2019-2025",31,15,48.3871
"Mexico","2019-2025",30,14,46.6667
"Panama","2019-2025",30,13,43.3333
"Argentina","2019-2024",28,16,57.1429
"Croatia","2022-2025",27,14,51.8518
"Myanmar","2023-2025",27,13,48.1482
"Isle of Man","2021-2025",26,11,42.3077
"Lesotho","2021-2024",23,7,30.4348
"Cameroon","2021-2024",22,9,40.9091
"Slovenia","2022-2025",20,10,50
"Costa Rica","2024-2025",18,11,61.1111
"Seychelles","2021-2024",18,8,44.4444
"South Korea","2022-2025",18,9,50
"Belize","2019-2024",17,7,41.1765
"Cook Islands","2022-2025",17,12,70.5882
"Fiji","2022-2024",16,7,43.75
"Greece","2019-2024",15,12,80
"China","2023-2024",11,3,27.2727
"ICC World XI","2005-2017",9,4,44.4444
"Suriname","2024-2024",8,3,37.5
"Africa XI","2005-2007",6,1,16.6667
