train,age,educ,black,hisp,married,earn96,unem96,earn98,unem98
0.00,37.00,11.00,1.00,0.00,1.00,0.00,1.00,1.62,0.00
0.00,30.00,12.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
1.00,27.00,11.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
1.00,33.00,8.00,1.00,0.00,0.00,0.00,1.00,9.07,0.00
0.00,22.00,9.00,1.00,0.00,0.00,0.00,1.00,4.02,0.00
1.00,23.00,12.00,1.00,0.00,0.00,0.00,1.00,7.34,0.00
0.00,32.00,11.00,1.00,0.00,0.00,0.00,1.00,2.62,0.00
1.00,22.00,16.00,1.00,0.00,0.00,0.00,1.00,7.60,0.00
0.00,19.00,9.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
1.00,21.00,13.00,1.00,0.00,0.00,0.00,1.00,13.41,0.00
1.00,18.00,8.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
1.00,27.00,10.00,1.00,0.00,1.00,0.00,1.00,5.19,0.00
0.00,17.00,7.00,1.00,0.00,0.00,0.00,1.00,8.77,0.00
0.00,19.00,10.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
1.00,27.00,13.00,1.00,0.00,0.00,0.00,1.00,9.85,0.00
0.00,23.00,10.00,1.00,0.00,0.00,0.00,1.00,5.56,0.00
1.00,40.00,12.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
0.00,26.00,12.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
1.00,23.00,11.00,1.00,0.00,0.00,0.00,1.00,7.29,0.00
1.00,24.00,11.00,1.00,0.00,0.00,0.00,1.00,12.73,0.00
1.00,18.00,10.00,1.00,0.00,0.00,0.00,1.00,7.64,0.00
1.00,29.00,11.00,1.00,0.00,1.00,0.00,1.00,16.24,0.00
0.00,25.00,11.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
0.00,17.00,10.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
0.00,24.00,11.00,1.00,0.00,0.00,0.00,1.00,0.02,0.00
0.00,17.00,10.00,1.00,0.00,0.00,0.00,1.00,0.02,0.00
1.00,48.00,4.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
1.00,25.00,11.00,1.00,0.00,1.00,0.00,1.00,0.99,0.00
1.00,20.00,12.00,1.00,0.00,0.00,0.00,1.00,3.14,0.00
1.00,25.00,12.00,1.00,0.00,0.00,0.00,1.00,9.14,0.00
0.00,42.00,14.00,1.00,0.00,0.00,0.00,1.00,5.90,0.00
1.00,25.00,5.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
0.00,23.00,12.00,1.00,0.00,1.00,0.00,1.00,7.15,0.00
1.00,46.00,8.00,1.00,0.00,1.00,0.00,1.00,7.21,0.00
1.00,24.00,10.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
1.00,21.00,12.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
0.00,17.00,8.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
1.00,20.00,11.00,1.00,0.00,0.00,0.00,1.00,2.43,0.00
1.00,25.00,11.00,1.00,0.00,1.00,0.00,1.00,6.57,0.00
1.00,17.00,8.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
1.00,17.00,9.00,1.00,0.00,0.00,0.00,1.00,3.08,0.00
0.00,25.00,5.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
1.00,23.00,12.00,1.00,0.00,0.00,0.00,1.00,16.37,0.00
1.00,28.00,8.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
1.00,31.00,11.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00
1.00,18.00,11.00,1.00,0.00,0.00,0.00,1.00,10.82,0.00
1.00,25.00,12.00,1.00,0.00,0.00,0.00,1.00,3.14,0.00
0.00,30.00,11.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00
1.00,17.00,10.00,1.00,0.00,0.00,0.00,1.00,5.11,0.00
0.00,37.00,9.00,1.00,0.00,0.00,0.00,1.00,6.40,0.00
1.00,41.00,4.00,1.00,0.00,1.00,0.00,1.00,7.63,0.00
1.00,42.00,14.00,1.00,0.00,1.00,0.00,1.00,7.16,0.00
0.00,17.00,8.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
1.00,29.00,8.00,1.00,0.00,0.00,0.00,1.00,8.03,0.00
1.00,35.00,10.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
1.00,27.00,11.00,1.00,0.00,0.00,0.00,1.00,11.80,0.00
1.00,29.00,4.00,1.00,0.00,0.00,0.00,1.00,6.56,0.00
0.00,28.00,9.00,1.00,0.00,0.00,0.00,1.00,4.05,0.00
0.00,27.00,11.00,1.00,0.00,0.00,0.00,1.00,6.47,0.00
0.00,45.00,5.00,1.00,0.00,1.00,0.00,1.00,1.33,0.00
0.00,29.00,13.00,1.00,0.00,0.00,0.00,1.00,10.44,0.00
1.00,27.00,9.00,1.00,0.00,0.00,0.00,1.00,7.02,0.00
1.00,46.00,13.00,1.00,0.00,0.00,0.00,1.00,0.15,0.00
1.00,18.00,6.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
1.00,25.00,12.00,1.00,0.00,0.00,0.00,1.00,11.11,0.00
0.00,28.00,15.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
0.00,22.00,12.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
