obs,totalwork,sleephours,gender,relationship,health
1,2050,3991,Male,Married,good
2,2713,2243,Male,Married,good
3,2493,3285,Male,Married,bad
4,2778,3158,Male,Married,good
5,3118,3743,Male,Married,good
6,2348,3680,Male,Married,good
7,1571,3778,Male,Married,good
8,3421,3390,Male,Single,good
9,1853,3298,Female,Married,good
10,0,3601,Female,Married,good
11,2700,2799,Male,Married,good
12,2526,3238,Female,Married,good
13,2948,3120,Male,Married,good
14,2570,4360,Male,Single,bad
15,2620,3305,Male,Married,bad
16,3588,3243,Male,Married,bad
17,958,3943,Male,Married,bad
18,2575,3003,Female,Married,good
19,3135,3490,Female,Married,good
20,3003,3201,Male,Married,good
21,3188,3328,Male,Married,good
22,2363,2879,Male,Married,good
23,2270,3120,Female,Single,good
24,1851,3510,Female,Married,bad
25,2592,3424,Male,Married,good
26,1995,3353,Female,Married,bad
27,2480,3048,Female,Married,good
28,2049,3045,Male,Married,good
29,1175,2923,Female,Single,good
30,1350,3103,Female,Single,bad
31,3242,3406,Male,Married,bad
32,2638,2915,Male,Married,good
33,875,3780,Female,Married,bad
34,1125,3441,Female,Married,good
35,1497,3470,Female,Married,good
36,2686,3791,Female,Married,good
37,2205,3271,Female,Married,good
38,3598,3545,Female,Married,good
39,3276,3030,Male,Married,good
40,2508,3706,Male,Married,good
41,900,3353,Female,Married,bad
42,2108,3385,Male,Married,bad
43,1905,3280,Female,Married,good
44,2477,3195,Male,Married,good
45,1013,3218,Female,Married,bad
46,2568,4103,Female,Married,good
47,3518,2760,Male,Married,good
48,305,3245,Female,Married,bad
49,1553,2698,Female,Married,good
50,0,3418,Female,Married,good
51,375,3376,Female,Married,bad
52,3105,3095,Female,Married,bad
53,1988,3208,Male,Married,bad
54,1733,3243,Female,Married,bad
55,2351,3183,Male,Married,bad
56,2263,2921,Female,Single,good
57,2616,3725,Male,Married,bad
58,2501,2768,Male,Married,good
59,2125,3698,Male,Married,good
60,1738,3128,Female,Married,bad
61,0,3685,Female,Married,good
62,0,3480,Male,Married,good
63,2150,3270,Male,Married,bad
64,2325,3233,Female,Married,good
65,3148,3330,Male,Married,good
66,1775,3466,Male,Married,good
67,1350,4081,Female,Married,good
68,188,4100,Male,Married,good
69,4325,2623,Male,Married,good
70,2430,3226,Male,Married,good
71,2250,3001,Female,Single,good
72,2506,3560,Male,Married,good
