region1,region2,age,socialmediahours,sleep,hhsize
South India,Urban,18,5,6,4
North India,Urban,18,0.75,7,3
North India,Urban,20,5,7,14
South India,Urban,19,1.4,7,4
South India,Urban,19,2,6,5
South India,Rural,19,4,5,4
North India,Urban,18,2,8,4
North India,Urban,18,4,10,5
South India,Urban,18,1,5,3
South India,Urban,17,4,6,4
South India,Urban,31,5,8,2
South India,Urban,20,1,6,4
South India,Urban,17,4,7,4
South India,Urban,18,1.5,7.5,4
South India,Urban,18,4,8,6
South India,Urban,18,2,5,3
South India,Urban,19,2,7.5,3
North India,Rural,18,2,7,5
South India,Urban,21,1.5,6,7
South India,Rural,22,0.42,6.5,4
South India,Urban,18,2,5,4
South India,Urban,18,2,7,4
South India,Urban,18,3,6,4
North India,Urban,18,1,6.5,4
South India,Urban,19,4,10,4
North India,Urban,19,3,6.5,5
North India,Rural,19,1,6,3
South India,Urban,82,3,8,5
South India,Urban,20,4,7,5
South India,Urban,19,4,7,5
North India,Urban,18,6,6,4
North India,Rural,19,4,6,3
North India,Rural,19,5,6,3
South India,Rural,19,2,7,5
South India,Urban,20,4,6,4
South India,Urban,18,3,7,3
South India,Urban,19,2,9,6
South India,Urban,18,1,7,4
South India,Urban,18,3,6,4
North India,Urban,19,2,6,4
South India,Urban,52,2,8,4
South India,Urban,18,3.5,5,4
South India,Urban,18,1,6,3
South India,Urban,18,1,7,3
South India,Urban,18,1,7,3
South India,Rural,40,2,8,6
South India,Urban,43,3,7,4
South India,Urban,18,2,4,4
South India,Urban,20,1,7,5
South India,Urban,19,0.45,8,3
South India,Urban,19,5,6,5
South India,Rural,49,2,7,4
North India,Urban,19,2,6.5,4
South India,Urban,18,2,7,4
South India,Urban,19,1,6,5
South India,Urban,18,2.5,8,8
South India,Urban,18,1.5,8,4
South India,Urban,19,2,5,5
South India,Urban,18,4,7,4
North India,Urban,19,2,7,4
South India,Urban,18,1,7.5,3
South India,Urban,19,1,7,5
North India,Urban,18,0.5,6,4
South India,Urban,18,3,7,3
South India,Urban,18,2,6,3
North India,Urban,20,2,6,4
North India,Urban,20,1,6,5
South India,Rural,19,2,4,4
South India,Rural,18,2,7,7
South India,Urban,19,1,6,4
South India,Urban,19,3,7,6
South India,Urban,18,4,7,3
North India,Urban,20,2,6,6
North India,Rural,19,2,10,4
South India,Urban,21,3,5,4
South India ,Urban ,18,2,6.5,4
North India ,Urban ,21,3.5,7,4
South India,Urban,20,5,6,5
South India,Urban,21,3,6,4
North India,Urban,20,3,4,4
South India,Urban,21,3,6,3
South India,Urban,20,4,6,4
South India ,Urban,20,3,7,4
South India,Urban,21,1,7,4
South India,Urban,18,1,6,3
North India,Rural,18,2,4,4
North India,Rural,18,2,4,4
South India ,Urban,18,4,7,5
South India ,Urban,18,3,6,3
North India,Urban,21,3,5,4
North India,Urban,19,1.5,5.5,4
North India,Urban,19,2,8,16
South India,Urban,19,3,7.5,4
North India,Urban,36,4,6,2
South India,Urban,24,2,6.5,4
South India,Urban,19,4,8,4
South India,Rural,18,1,7,4
North India,Rural,18,2,8,8
South India ,Rural,19,1,7,4
South India ,Rural,19,1.5,8,5
North India,Urban,19,3,4,8
North India ,Rural,18,5,8,6
North India,Urban ,18,6,6,4
South India,Urban,19,3,7,4
North India ,Rural,18,2.5,6.5,4
South India ,Rural,25,1,5,3
