respondentid,monthlysalary,education,experience,caste,gender,marital_status
1,37696.00,11,2,Upper Caste,Female,Single
2,39398.40,12,22,Upper Caste,Female,Married
3,36480.00,11,2,Upper Caste,Male,Single
4,72960.00,8,44,Upper Caste,Male,Married
5,64448.00,12,7,Upper Caste,Male,Married
6,106400.00,16,9,Upper Caste,Male,Married
7,136800.00,18,15,Upper Caste,Male,Single
8,60800.00,12,5,Upper Caste,Female,Single
9,43776.00,12,26,Upper Caste,Female,Single
10,221069.00,17,22,Upper Caste,Male,Married
11,76000.00,16,8,Upper Caste,Female,Single
12,98860.80,13,3,Upper Caste,Female,Single
13,106643.00,12,15,Upper Caste,Male,Married
14,66880.00,12,18,Upper Caste,Male,Single
15,269952.00,12,31,Upper Caste,Male,Married
16,210733.00,16,14,Upper Caste,Male,Married
17,91200.00,12,10,Upper Caste,Female,Married
18,129261.00,13,16,Upper Caste,Female,Single
19,43776.00,12,13,Upper Caste,Female,Married
20,54720.00,12,36,Upper Caste,Female,Married
21,83660.80,12,11,Upper Caste,Female,Single
22,103117.00,12,29,Upper Caste,Male,Married
23,76972.80,16,9,Upper Caste,Female,Single
24,6444.80,12,3,Upper Caste,Female,Single
25,72960.00,11,37,Lower Caste,Female,Single
26,116250.00,16,3,Lower Caste,Male,Married
27,94604.80,16,11,Upper Caste,Male,Married
28,152000.00,16,31,Upper Caste,Male,Married
29,152000.00,15,30,Upper Caste,Male,Married
30,39520.00,8,9,Upper Caste,Female,Married
31,158080.00,14,23,Upper Caste,Male,Married
32,54720.00,14,2,Upper Caste,Female,Single
33,117709.00,13,16,Upper Caste,Female,Single
34,60800.00,12,7,Upper Caste,Female,Single
35,56908.80,12,3,Upper Caste,Female,Single
36,51923.20,16,22,Lower Caste,Female,Married
37,74784.00,12,15,Lower Caste,Female,Married
38,42681.60,4,39,Upper Caste,Male,Married
39,36480.00,14,3,Upper Caste,Female,Married
40,76000.00,12,11,Upper Caste,Female,Single
41,94969.60,12,3,Upper Caste,Female,Married
42,121600.00,12,20,Lower Caste,Female,Married
43,54720.00,14,16,Upper Caste,Female,Married
44,48640.00,11,45,Upper Caste,Female,Married
45,77580.80,13,11,Upper Caste,Female,Single
46,166592.00,15,20,Upper Caste,Male,Married
47,20307.20,10,1,Upper Caste,Male,Single
48,35628.80,12,36,Upper Caste,Female,Married
49,44384.00,14,9,Upper Caste,Male,Single
50,35264.00,12,15,Upper Caste,Female,Married
51,19820.80,12,18,Upper Caste,Female,Single
52,104576.00,16,3,Upper Caste,Female,Single
53,60800.00,12,15,Upper Caste,Male,Married
54,72960.00,12,7,Upper Caste,Male,Married
55,30400.00,12,2,Upper Caste,Male,Single
56,39520.00,15,3,Upper Caste,Male,Single
57,41344.00,16,1,Upper Caste,Female,Single
58,121600.00,8,13,Lower Caste,Male,Single
59,263021.00,18,8,Upper Caste,Female,Single
60,53260.80,16,7,Upper Caste,Male,Single
61,142394.00,13,40,Upper Caste,Female,Single
62,150662.00,14,42,Upper Caste,Male,Single
63,76000.00,10,36,Upper Caste,Male,Single
64,45113.60,10,13,Lower Caste,Female,Single
