"student_id","age","height","gender"
"S01",31,178,"M"
"S02",19,161,"F"
"S03",18,181,"M"
"S04",18,164,"F"
"S05",19,170,"F"
"S06",18,175,"M"
"S07",18,176,"M"
"S08",21,186,NA
"S09",18,161,"F"
"S10",19,170,"F"
"S11",19,174,"M"
"S12",18,172,"M"
"S13",18,160,"F"
"S14",19,175,"M"
"S15",19,164,"M"
"S16",19,179,"M"
"S17",18,160,"F"
"S18",20,150,"F"
"S19",17,170,"F"
"S20",18,165,"F"
"S21",18,162,"F"
"S22",18,160,"F"
"S23",18,160,"F"
"S24",17,165,"F"
"S25",18,172,"M"
"S26",18,184,"M"
"S27",18,165,"M"
"S28",21,164,"F"
"S29",18,179,"M"
"S30",20,185,"M"
"S31",18,171,"M"
"S32",18,166,"M"
"S33",NA,NA,"F"
