"region","residence","age","hhsize","height"
"North Indian","Urban",19,5,168
"North Indian","Rural",19,4,167
"North Indian","Urban",18,6,173
"North Indian","Urban",19,4,149
"North Indian","Urban",19,5,161
"South Indian","Urban",18,10,154
"North Indian","Urban",20,6,168
"North Indian","Urban",19,5,156
"North Indian","Rural",20,6,152
"North Indian","Rural",18,6,170
"North Indian","Urban",18,4,160.02
"South Indian","Urban",21,8,157.48
"South Indian","Rural",18,3,156
"South Indian","Rural",19,2,183
"North Indian","Rural",18,5,150
"South Indian","Urban",19,4,167.64
"South Indian","Rural",22,5,168
"North Indian","Rural",22,5,168
"North Indian","Urban",18,5,160
"North Indian","Urban",21,3,167
"North Indian","Urban",19,3,162
"South Indian","Urban",18,3,166
"South Indian","Urban",19,4,135
"North Indian","Urban",19,8,165
"North Indian","Urban",20,6,168
"North Indian","Urban",19,4,165
"South Indian","Urban",18,4,171
"South Indian","Urban",18,3,171
"South Indian","Urban",20,3,152
"North Indian","Urban",19,2,161
"North Indian","Urban",19,6,158
"North Indian","Urban",19,11,167.64
"South Indian","Urban",18,5,161
"South Indian","Rural",18,5,174
"North Indian","Rural",22,5,168
"North Indian","Rural",22,5,167
"North Indian","Rural",20,5,165
"South Indian","Urban",18,5,166
"South Indian","Urban",20,4,172
"South Indian","Rural",20,5,153
"North Indian","Urban",16,4,171
"South Indian","Rural",19,4,161
"South Indian","Rural",18,7,164
"South Indian","Urban",18,4,151
"South Indian","Urban",18,3,158
"South Indian","Urban",19,4,166
"North Indian","Urban",19,4,174
"North Indian","Urban",18,7,163
"North Indian","Urban",19,4,172
"South Indian","Rural",18,4,159
"North Indian","Urban",19,16,155
"South Indian","Rural",18,4,180
"North Indian","Rural",32,6,168
"North Indian","Rural",22,4,167
"South Indian","Urban",24,4,155
"North Indian","Rural",19,4,148.89
"North Indian","Urban",20,4,170
"North Indian","Urban",18,4,182
"North Indian","Urban",19,8,167
"South Indian","Rural",23,5,149.86
"North Indian","Rural",21,5,167
"North Indian","Urban",20,4,166
"South Indian","Urban",18,4,158
"North Indian","Rural",27,6,167
"South Indian","Urban",18,3,166
"North Indian","Rural",18,14,167
"North Indian","Urban",22,3,155
"South Indian","Rural",18,4,159
"South Indian","Urban",18,4,165
"South Indian","Urban",18,4,171
"South Indian","Urban",19,4,168
"North Indian","Rural",19,5,158
"North Indian","Urban",19,4,159
"South Indian","Urban",19,5,178
"North Indian","Urban",18,3,183
"South Indian","Urban",18,3,163
"South Indian","Urban",18,3,167
"South Indian","Rural",18,5,150
"North Indian","Rural",18,4,172
"North Indian","Rural",26,6,162
"South Indian","Urban",28,4,154
"North Indian","Rural",26,4,176
"North Indian","Rural",21,5,178
"North Indian","Rural",23,5,170
"North Indian","Rural",25,5,170
"North Indian","Urban",20,7,156
"South Indian","Rural",18,4,181
"South Indian","Urban",19,4,169
"South Indian","Rural",19,4,167
"South Indian","Rural",19,5,171
"South Indian","Rural",18,4,176
"North Indian","Urban",18,4,165
"North Indian","Urban",18,4,162
"North Indian","Urban",21,4,167
"North Indian","Urban",23,5,167
"North Indian","Urban",18,5,169
"North Indian","Rural",18,8,167
"North Indian","Urban",18,5,157.5
"South Indian","Urban",18,4,153
"South Indian","Rural",20,4,171
