"district","votea","expenda","expendb","prtystra","logexpenda","logexpendb"
7,68,328.3,8.74,41,5.793928,2.16791
1,62,626.38,402.48,60,6.439957,5.997645
2,73,99.61,3.07,55,4.601263,1.121678
3,69,319.69,26.28,64,5.767352,3.268808
3,75,159.22,60.05,66,5.070287,4.095178
4,69,570.16,21.39,46,6.345917,3.062923
2,59,696.75,193.91,58,6.546427,5.267394
3,71,638.69,7.7,49,6.459419,2.04122
5,76,616.94,19.25,71,6.424772,2.957511
6,73,351.69,50.53,64,5.86275,3.922567
7,68,269.89,14.71,53,5.598014,2.688528
11,71,269.51,95.57,58,5.596605,4.559859
12,52,1440.64,1089.57,49,7.272843,6.993538
16,79,252.34,69.56,54,5.530777,4.24219
19,50,1470.67,1548.19,54,7.293473,7.344842
23,64,140.49,100.96,56,4.945137,4.614724
24,72,191.33,15.45,65,5.254,2.737609
27,68,398.6,15.24,54,5.987958,2.723923
30,60,460.62,382.11,53,6.132574,5.945708
32,67,457.41,20.61,49,6.12558,3.025776
34,63,227.1,149.89,50,5.42539,5.009902
36,54,532.9,218.7,47,6.278334,5.387701
37,64,122.84,13.56,68,4.810883,2.607124
40,67,1110.13,47.75,68,7.012232,3.865979
42,64,494.49,11.89,65,6.203527,2.475698
1,70,217.5,26.04,61,5.382199,3.259634
2,63,721.65,85.1,50,6.58154,4.443827
3,78,482.79,17.94,46,6.179582,2.887033
5,75,183.23,0.93,67,5.210742,-0.0725707
6,63,636.2,489.3,57,6.455513,6.192976
2,64,727.92,246.9,49,6.590191,5.508983
4,72,372.68,44.41,57,5.92072,3.793465
6,66,399.37,128.85,53,5.989888,4.858649
1,68,371.75,184.71,43,5.918221,5.218787
1,67,210.94,23.91,27,5.351574,3.174297
4,50,313.42,1069.7,36,5.747544,6.975133
6,54,408.29,503.65,61,6.011978,6.221881
14,55,971.88,777.99,47,6.879232,6.656713
19,72,337.6,4.91,41,5.821862,1.591274
1,67,337.05,40.46,39,5.820231,3.700314
4,60,516.74,696.3,41,6.24754,6.545781
5,78,101.54,6.05,68,4.620453,1.800058
6,59,838.71,358.35,67,6.731865,5.88151
7,65,382.28,60.69,29,5.946153,4.105779
9,63,405.04,64.4,29,6.003986,4.165113
10,64,193.12,6.76,35,5.263312,1.911023
2,63,502.08,206.96,33,6.21876,5.332526
4,50,359.94,348.34,44,5.885937,5.853179
5,61,165.14,48.94,48,5.106793,3.890595
6,74,281.23,26.56,68,5.639173,3.279406
9,66,122.9,28.32,61,4.811371,3.343568
11,65,239.16,41.26,46,5.477133,3.719893
17,65,471.23,124.13,53,6.155346,4.82133
19,64,193.21,16.24,45,5.263778,2.787477
20,69,251.63,57.71,49,5.52796,4.05543
21,53,394.41,69.49,54,5.977391,4.241183
2,53,444.42,332.88,35,6.09677,5.807782
5,56,689.09,244.99,35,6.535372,5.501217
6,73,333.72,11.74,69,5.810302,2.463002
8,62,551.48,130.24,42,6.312605,4.869379
10,61,35.79,24.92,51,3.577669,3.215671
5,64,420.73,115.7,47,6.041991,4.751
6,64,523.11,175.95,50,6.259792,5.1702
2,73,388.87,119.26,46,5.963245,4.781306
3,74,234.58,13.48,54,5.457797,2.601207
4,64,545.76,149.04,43,6.302179,5.004215
2,61,8.4,84.1,41,2.128232,4.432006
3,70,371.43,4.93,53,5.91736,1.595339
4,74,468.87,23.64,65,6.150325,3.16294
7,59,411.7,432.4,55,6.020295,6.069351
2,66,202.32,68.39,55,5.309851,4.225226
3,73,354.7,18.89,54,5.871273,2.938633
4,60,343.1,34.37,57,5.838022,3.537184
5,84,344.93,15.4,47,5.843341,2.734367
6,70,337.2,63.01,50,5.820676,4.143293
10,67,235.95,121.06,51,5.46362,4.796286
2,54,876.78,750.49,58,6.776256,6.620726
3,57,600.94,164.86,45,6.398495,5.105097
4,71,323.83,8.58,63,5.780219,2.149434
7,76,150.59,1.31,55,5.014561,0.2700271
8,72,128.4,2.19,50,4.85515,0.7839016
9,70,450.8,14.87,62,6.111024,2.699346
11,60,680.82,415.66,52,6.523298,6.029868
12,54,434.2,143.89,39,6.073505,4.969049
14,63,137.56,3.54,44,4.92406,1.264127
15,64,234.43,7.99,45,5.457157,2.078191
18,23,9.46,77.1,30,2.247072,4.345103
2,42,152.29,623.78,49,5.025786,6.435798
4,28,35.79,216.17,39,3.577669,5.376065
5,28,16.92,281.45,35,2.828496,5.639955
6,35,100.94,320.22,49,4.614526,5.769008
8,25,7.74,157.8,40,2.046402,5.061328
3,37,202.52,512.21,53,5.310839,6.238735
6,41,198.62,341.34,50,5.291393,5.832879
7,47,215.06,338.12,39,5.370917,5.823401
8,42,516.24,768.79,45,6.246572,6.644818
9,32,9.56,210.84,55,2.257588,5.351099
1,39,58.2,250.28,52,4.063885,5.52258
2,45,394.1,380.93,46,5.976604,5.942616
1,33,96.28,221.53,44,4.567261,5.400558
2,49,1158.29,858.76,58,7.0547,6.755489
1,36,147.89,652.2,58,4.996469,6.480351
3,48,981.86,678.65,63,6.889449,6.520105
4,34,53.96,252.82,45,3.988243,5.532678
6,38,38.92,123.63,54,3.661508,4.817293
9,32,57.26,403.06,54,4.047602,5.999085
1,49,576.68,559.13,46,6.357287,6.326382
3,27,41.67,267.63,46,3.729781,5.589605
3,43,90.89,364.09,60,4.50965,5.897401
5,35,35.63,337.79,44,3.573188,5.822424
15,39,162.16,602.94,67,5.088583,6.401818
17,16,2.85,170.57,22,1.047319,5.139146
22,29,10.43,411.06,43,2.344686,6.018739
23,38,174.79,273.51,44,5.163585,5.611338
24,28,15.94,151.28,42,2.768832,5.019133
27,43,645.12,594.97,48,6.469436,6.388511
30,43,310.7,802.89,55,5.738828,6.688218
31,47,453.46,688.38,44,6.116907,6.534341
1,35,16.76,82.15,54,2.818995,4.408547
4,42,745.73,1006.64,56,6.614364,6.914373
5,47,718.02,756.11,60,6.576498,6.628187
6,38,583.01,738.09,39,6.368205,6.604066
8,48,242.78,581.89,62,5.492156,6.366282
10,39,44.33,302.21,35,3.791662,5.711122
1,29,1.15,143.21,57,0.1397619,4.964312
2,28,13.96,125.68,38,2.636196,4.833739
6,26,43.49,884.75,36,3.772531,6.785305
9,19,47.94,244.03,47,3.86995,5.497291
11,38,860.77,561.07,56,6.757827,6.329846
14,25,13.24,419.01,48,2.583242,6.037895
15,25,6.68,211.96,38,1.899118,5.356398
17,23,2.39,96,38,0.8712934,4.564348
19,30,0.52,226.09,55,-0.6539265,5.420933
1,48,253.59,484.58,39,5.535719,6.183282
2,35,81.63,358.7,53,4.402197,5.882486
5,28,0.3,318.82,33,-1.203973,5.764627
4,28,58.56,279.81,46,4.070052,5.634111
1,24,1.64,234.96,34,0.4946962,5.459415
3,37,23.1,250.48,52,3.139833,5.523379
6,37,12,121.43,62,2.484907,4.799338
7,32,203.58,507.36,40,5.316059,6.229221
8,43,507.68,1089.61,62,6.229851,6.993575
13,33,60.67,225.41,44,4.105449,5.417921
15,43,355.02,752.33,45,5.872174,6.623175
23,38,106.46,336.67,44,4.667769,5.819103
1,44,801.29,385.4,58,6.686223,5.954282
1,36,82.04,118.7,39,4.407207,4.776599
3,46,354.58,641.43,67,5.870934,6.4637
4,48,630.91,1143.35,68,6.447163,7.041718
1,28,199.42,632.1,53,5.295413,6.449048
6,24,12.62,454.35,61,2.535283,6.118868
1,38,94.48,505.61,53,4.548388,6.225766
5,39,179.2,646.22,50,5.188502,6.47114
6,32,17.41,654.26,38,2.857045,6.483505
13,48,476.22,384.74,64,6.16588,5.952568
14,47,645.99,600.11,58,6.470784,6.397113
23,35,6.36,187.3,51,1.850028,5.232712
26,31,189.78,314.9,32,5.245865,5.752255
1,40,391.93,426.9,28,5.971083,6.05655
2,43,254.82,676.47,60,5.540557,6.516888
1,27,30.3,284.7,40,3.411148,5.651436
10,32,241.45,758.36,43,5.486662,6.631158
1,45,625.93,1321.02,51,6.439239,7.18616
3,50,354.14,684.21,49,5.869692,6.528265
5,24,13.53,476.46,52,2.604909,6.166384
6,32,37.62,288.17,50,3.627536,5.663551
8,29,12.6,300.05,44,2.533697,5.703949
1,25,15.22,103.15,49,2.72261,4.636184
4,39,32.04,152.27,42,3.466985,5.025655
3,32,22.63,359.8,53,3.119277,5.885548
5,36,197.46,1278.53,36,5.285536,7.153466
7,38,202.59,450.72,46,5.311184,6.110847
8,30,14.42,227.82,47,2.668616,5.428556
