"id","annual_earnings","education","age","religion","sex","residence"
1,17773,9,38,"Hindu","Female","Rural"
2,60847,2,52,"Muslim","Male","Rural"
3,115739,7,39,"Hindu","Male","Urban"
4,34834,11,49,"Hindu","Male","Urban"
5,30784,0,22,"Hindu","Male","Rural"
6,2068,7,32,"Hindu","Male","Urban"
7,19815,1,22,"Hindu","Female","Rural"
8,44341,8,32,"Hindu","Male","Rural"
9,67829,0,33,"Hindu","Male","Rural"
10,250001,11,32,"Muslim","Male","Urban"
11,3966,0,65,"Hindu","Female","Rural"
12,17247,0,37,"Hindu","Male","Urban"
13,3046,0,18,"Hindu","Female","Rural"
14,110753,15,49,"Hindu","Male","Urban"
15,125457,4,47,"Hindu","Male","Urban"
16,44455,13,46,"Hindu","Male","Rural"
17,397264,15,37,"Hindu","Male","Rural"
18,64199,13,30,"Hindu","Male","Rural"
19,346048,15,38,"Hindu","Male","Rural"
20,166274,8,47,"Hindu","Male","Urban"
21,229286,14,33,"Christian","Male","Urban"
22,38149,0,33,"Muslim","Female","Urban"
23,38497,12,28,"Hindu","Male","Urban"
24,10258,4,22,"Hindu","Female","Urban"
25,6382,0,45,"Hindu","Female","Rural"
26,96170,4,39,"Hindu","Female","Rural"
27,21323,0,48,"Muslim","Male","Rural"
28,181331,0,33,"Hindu","Male","Urban"
29,41265,4,43,"Hindu","Male","Rural"
30,4106,9,52,"Hindu","Female","Rural"
31,178012,15,22,"Sikh","Male","Rural"
32,1151,0,41,"Hindu","Female","Rural"
33,9979,4,35,"Muslim","Female","Rural"
34,23238,1,20,"Hindu","Male","Rural"
35,200904,12,59,"Hindu","Male","Urban"
36,1899,0,51,"Hindu","Female","Urban"
37,16304,0,51,"Hindu","Male","Rural"
38,29737,0,50,"Hindu","Female","Rural"
39,14513,5,58,"Hindu","Male","Rural"
40,2114,0,21,"Hindu","Male","Rural"
41,25741,0,37,"Hindu","Female","Rural"
42,10128,0,25,"Christian","Female","Rural"
43,213892,15,43,"Hindu","Male","Rural"
44,55546,2,47,"Hindu","Female","Urban"
45,18601,6,44,"Hindu","Male","Rural"
46,13382,0,41,"Hindu","Female","Rural"
47,2992,7,55,"Hindu","Female","Rural"
48,24025,10,36,"Hindu","Male","Rural"
49,47710,9,48,"Hindu","Male","Rural"
50,61317,15,46,"Hindu","Male","Urban"
51,694,4,40,"Hindu","Female","Rural"
52,2566,0,33,"Hindu","Male","Rural"
53,3823,0,18,"Hindu","Female","Rural"
54,8596,2,39,"Muslim","Male","Rural"
55,41265,2,29,"Hindu","Male","Rural"
56,26622,8,40,"Hindu","Male","Rural"
57,62260,0,45,"Hindu","Female","Urban"
58,15380,0,43,"Hindu","Male","Rural"
59,23049,9,21,"Hindu","Male","Rural"
60,61829,8,48,"Hindu","Female","Urban"
61,162744,15,56,"Christian","Male","Rural"
62,32708,0,40,"Hindu","Male","Rural"
63,37784,7,40,"Hindu","Male","Urban"
64,10311,0,18,"Hindu","Male","Rural"
65,18447,11,33,"Hindu","Male","Rural"
66,11205,6,39,"Hindu","Male","Urban"
67,22779,0,48,"Christian","Male","Rural"
68,6348,1,45,"Hindu","Male","Rural"
69,56120,0,55,"Hindu","Female","Rural"
70,5889,4,19,"Hindu","Female","Rural"
71,416919,9,30,"Hindu","Male","Rural"
72,12384,10,40,"Hindu","Female","Rural"
73,14263,9,39,"Muslim","Male","Rural"
74,5723,2,45,"Muslim","Male","Rural"
75,15843,0,53,"Muslim","Male","Rural"
76,85604,15,28,"Hindu","Female","Urban"
77,68793,0,55,"Hindu","Female","Urban"
78,5468,0,51,"Hindu","Female","Rural"
79,31109,2,37,"Hindu","Male","Rural"
80,75720,9,38,"Hindu","Male","Rural"
81,1345,5,40,"Sikh","Male","Rural"
82,19609,5,46,"Muslim","Male","Rural"
83,305709,11,39,"Hindu","Male","Urban"
84,116083,12,56,"Hindu","Male","Rural"
85,28313,11,35,"Hindu","Female","Rural"
86,3758,1,40,"Hindu","Male","Rural"
87,48194,2,43,"Hindu","Male","Rural"
88,14611,3,57,"Hindu","Female","Rural"
89,16378,0,40,"Hindu","Male","Rural"
90,15090,5,41,"Hindu","Female","Rural"
91,40219,5,39,"Hindu","Female","Rural"
92,53971,0,53,"Hindu","Male","Rural"
93,48541,15,28,"Hindu","Male","Rural"
94,21421,10,43,"Hindu","Female","Rural"
95,24332,2,62,"Hindu","Male","Rural"
96,20039,5,33,"Hindu","Male","Rural"
97,44827,1,39,"Hindu","Male","Rural"
98,16176,0,19,"Hindu","Female","Rural"
99,9917,0,57,"Hindu","Male","Rural"
100,42164,10,21,"Hindu","Male","Urban"
101,44656,11,52,"Hindu","Male","Rural"
102,11418,1,38,"Hindu","Male","Rural"
