"respondentid","monthlysalary","education","experience","caste","gender","marital_status"
1,37696,11,2,"Upper Caste","Female","Single"
2,39398.4,12,22,"Upper Caste","Female","Married"
3,36480,11,2,"Upper Caste","Male","Single"
4,72960,8,44,"Upper Caste","Male","Married"
5,64448,12,7,"Upper Caste","Male","Married"
6,106400,16,9,"Upper Caste","Male","Married"
7,136800,18,15,"Upper Caste","Male","Single"
8,60800,12,5,"Upper Caste","Female","Single"
9,43776,12,26,"Upper Caste","Female","Single"
10,221069,17,22,"Upper Caste","Male","Married"
11,76000,16,8,"Upper Caste","Female","Single"
12,98860.8,13,3,"Upper Caste","Female","Single"
13,106643,12,15,"Upper Caste","Male","Married"
14,66880,12,18,"Upper Caste","Male","Single"
15,269952,12,31,"Upper Caste","Male","Married"
16,210733,16,14,"Upper Caste","Male","Married"
17,91200,12,10,"Upper Caste","Female","Married"
18,129261,13,16,"Upper Caste","Female","Single"
19,43776,12,13,"Upper Caste","Female","Married"
20,54720,12,36,"Upper Caste","Female","Married"
21,83660.8,12,11,"Upper Caste","Female","Single"
22,103117,12,29,"Upper Caste","Male","Married"
23,76972.8,16,9,"Upper Caste","Female","Single"
24,6444.8,12,3,"Upper Caste","Female","Single"
25,72960,11,37,"Lower Caste","Female","Single"
26,116250,16,3,"Lower Caste","Male","Married"
27,94604.8,16,11,"Upper Caste","Male","Married"
28,152000,16,31,"Upper Caste","Male","Married"
29,152000,15,30,"Upper Caste","Male","Married"
30,39520,8,9,"Upper Caste","Female","Married"
31,158080,14,23,"Upper Caste","Male","Married"
32,54720,14,2,"Upper Caste","Female","Single"
33,117709,13,16,"Upper Caste","Female","Single"
34,60800,12,7,"Upper Caste","Female","Single"
35,56908.8,12,3,"Upper Caste","Female","Single"
36,51923.2,16,22,"Lower Caste","Female","Married"
37,74784,12,15,"Lower Caste","Female","Married"
38,42681.6,4,39,"Upper Caste","Male","Married"
39,36480,14,3,"Upper Caste","Female","Married"
40,76000,12,11,"Upper Caste","Female","Single"
41,94969.6,12,3,"Upper Caste","Female","Married"
42,121600,12,20,"Lower Caste","Female","Married"
43,54720,14,16,"Upper Caste","Female","Married"
44,48640,11,45,"Upper Caste","Female","Married"
45,77580.8,13,11,"Upper Caste","Female","Single"
46,166592,15,20,"Upper Caste","Male","Married"
47,20307.2,10,1,"Upper Caste","Male","Single"
48,35628.8,12,36,"Upper Caste","Female","Married"
49,44384,14,9,"Upper Caste","Male","Single"
50,35264,12,15,"Upper Caste","Female","Married"
51,19820.8,12,18,"Upper Caste","Female","Single"
52,104576,16,3,"Upper Caste","Female","Single"
53,60800,12,15,"Upper Caste","Male","Married"
54,72960,12,7,"Upper Caste","Male","Married"
55,30400,12,2,"Upper Caste","Male","Single"
56,39520,15,3,"Upper Caste","Male","Single"
57,41344,16,1,"Upper Caste","Female","Single"
58,121600,8,13,"Lower Caste","Male","Single"
59,263021,18,8,"Upper Caste","Female","Single"
60,53260.8,16,7,"Upper Caste","Male","Single"
61,142394,13,40,"Upper Caste","Female","Single"
62,150662,14,42,"Upper Caste","Male","Single"
63,76000,10,36,"Upper Caste","Male","Single"
64,45113.6,10,13,"Lower Caste","Female","Single"
65,94604.8,14,9,"Upper Caste","Male","Single"
66,242957,14,26,"Upper Caste","Male","Married"
67,76000,16,7,"Lower Caste","Female","Married"
68,121600,12,25,"Upper Caste","Male","Married"
69,69433.6,16,10,"Upper Caste","Male","Married"
70,24320,12,3,"Upper Caste","Female","Single"
71,69433.6,16,3,"Upper Caste","Female","Single"
72,159053,17,17,"Lower Caste","Male","Married"
73,59705.6,12,17,"Upper Caste","Male","Married"
74,35385.6,12,20,"Upper Caste","Female","Married"
75,45600,12,7,"Upper Caste","Female","Married"
76,144704,13,24,"Upper Caste","Male","Married"
77,48640,12,28,"Upper Caste","Female","Married"
78,37696,12,2,"Upper Caste","Female","Single"
79,102752,12,19,"Upper Caste","Male","Married"
80,86822.4,18,13,"Upper Caste","Male","Married"
81,54720,9,22,"Upper Caste","Male","Married"
82,56544,16,3,"Upper Caste","Male","Single"
83,35264,10,4,"Upper Caste","Female","Single"
84,81107.2,12,7,"Upper Caste","Male","Single"
85,42560,12,6,"Lower Caste","Female","Single"
86,39641.6,12,13,"Upper Caste","Female","Married"
87,39520,12,14,"Upper Caste","Female","Married"
88,97280,12,14,"Upper Caste","Female","Single"
89,119776,8,40,"Lower Caste","Male","Married"
90,91200,12,11,"Upper Caste","Male","Married"
91,71865.6,12,14,"Upper Caste","Male","Married"
92,143002,14,40,"Upper Caste","Male","Married"
93,36480,12,1,"Upper Caste","Female","Single"
94,58489.6,12,2,"Upper Caste","Female","Single"
95,79040,12,4,"Upper Caste","Female","Single"
96,48640,9,19,"Upper Caste","Female","Married"
97,42560,13,1,"Upper Caste","Male","Single"
98,160026,12,34,"Upper Caste","Male","Married"
99,51680,14,5,"Upper Caste","Male","Married"
100,42560,12,3,"Upper Caste","Male","Single"
101,62380.8,15,6,"Upper Caste","Female","Single"
102,45600,12,14,"Upper Caste","Female","Married"
103,54720,12,35,"Upper Caste","Female","Married"
104,92780.8,12,8,"Upper Caste","Female","Single"
105,182400,14,7,"Lower Caste","Male","Married"
106,83296,15,11,"Upper Caste","Female","Married"
107,162093,12,14,"Upper Caste","Male","Married"
108,81107.2,12,35,"Upper Caste","Male","Single"
109,30764.8,12,46,"Upper Caste","Female","Single"
110,119168,17,7,"Upper Caste","Male","Married"
111,40979.2,11,45,"Upper Caste","Male","Married"
112,303757,18,29,"Upper Caste","Male","Married"
113,65664,12,6,"Upper Caste","Male","Married"
114,74297.6,14,15,"Upper Caste","Male","Married"
115,51072,14,33,"Upper Caste","Female","Married"
116,45600,10,15,"Upper Caste","Male","Single"
117,42560,14,5,"Upper Caste","Female","Married"
118,44262.4,12,7,"Upper Caste","Male","Single"
119,46208,15,6,"Upper Caste","Male","Married"
120,36480,8,33,"Upper Caste","Female","Married"
121,60800,16,2,"Upper Caste","Female","Married"
122,56300.8,14,4,"Upper Caste","Female","Married"
123,36480,15,1,"Upper Caste","Male","Single"
124,38912,12,29,"Upper Caste","Female","Single"
125,47545.6,18,17,"Upper Caste","Male","Married"
126,78188.8,16,17,"Upper Caste","Female","Married"
127,66636.8,10,36,"Upper Caste","Female","Married"
128,18240,8,31,"Upper Caste","Male","Single"
129,35264,10,23,"Upper Caste","Female","Single"
130,60800,11,13,"Upper Caste","Male","Married"
131,108467,18,3,"Upper Caste","Male","Married"
132,60800,15,15,"Upper Caste","Male","Single"
133,42803.2,12,48,"Upper Caste","Male","Married"
134,35264,11,6,"Upper Caste","Female","Single"
135,54720,12,12,"Upper Caste","Male","Married"
136,27360,12,5,"Upper Caste","Female","Single"
137,60800,14,19,"Upper Caste","Male","Married"
138,121600,16,9,"Lower Caste","Male","Married"
139,45600,2,39,"Upper Caste","Male","Married"
140,121600,14,28,"Upper Caste","Female","Married"
141,133152,16,23,"Upper Caste","Male","Married"
142,96064,12,2,"Upper Caste","Male","Single"
143,57395.2,12,15,"Upper Caste","Female","Single"
144,71014.4,13,5,"Upper Caste","Female","Married"
145,46572.8,12,18,"Upper Caste","Female","Single"
146,38912,15,2,"Upper Caste","Female","Single"
147,24320,10,3,"Lower Caste","Female","Single"
148,54720,12,31,"Upper Caste","Female","Married"
149,140448,16,20,"Upper Caste","Female","Married"
150,26022.4,13,34,"Lower Caste","Female","Married"
151,28940.8,9,5,"Lower Caste","Male","Single"
152,45600,12,11,"Upper Caste","Male","Single"
153,67123.2,13,31,"Upper Caste","Male","Single"
154,79040,12,8,"Upper Caste","Female","Married"
155,37696,12,2,"Upper Caste","Female","Single"
156,121600,14,18,"Upper Caste","Male","Married"
157,80620.8,16,3,"Upper Caste","Male","Married"
158,121600,16,3,"Upper Caste","Male","Married"
159,28089.6,9,4,"Upper Caste","Female","Single"
160,83660.8,18,4,"Upper Caste","Male","Single"
161,34412.8,10,1,"Upper Caste","Male","Single"
162,38060.8,10,1,"Upper Caste","Female","Single"
163,97280,13,28,"Upper Caste","Male","Married"
164,54720,12,47,"Upper Caste","Female","Married"
165,105184,18,13,"Upper Caste","Female","Single"
166,24320,13,2,"Upper Caste","Female","Single"
167,57760,12,48,"Upper Caste","Female","Married"
168,76000,13,6,"Upper Caste","Female","Married"
